FU,FS,PN,PP,DIN
Bananas,0.6343897184545403,0.14968721548048944,0.0,15.278511377328089
Conservation,659.1688991268893,4518.817964091623,1095.1027194355322,1747.1727202474706
Cropping,1.1383840374363736,2.7931018653077944,1.4009703741553987,17.26090006076216
Dairy,0.42270015400097793,2.7573721926151533,1.2813604464076074,5.252489134521352
Forestry,52.74070105767262,374.8097391298421,119.26913315841894,187.55660730515748
Grazing,449.7162769234506,1440.2371372912432,754.6309991490632,1986.8813379893222
Horticulture,1.9516204433572413,1.4445952027351991,0.8913196472517017,12.814298510447276
Stream,657.9210798366488,787.2729435823198,451.0306682166557,0.0
Sugarcane,9.378492537122382,13.81419385750302,13.349970675302394,208.67079592539227
Urban + Other,11.3465128931134,12.541661832424516,5.39123158262644,101.84265190163153
