FU,FS,PN,PP,DIN
Bananas,0.0,0.0,0.0,0.0
Conservation,13.579182718099712,180.2909841691257,48.792842512044636,57.52428918366845
Cropping,0.5376453144172962,0.30941993990128197,0.06262701600726979,3.267403833503762
Dairy,0.0,0.0,0.0,0.0
Forestry,2.817767574616252,54.71020605455788,14.117969652144359,14.742658124258977
Grazing,44.47112579286374,608.0225370607234,120.39909802017047,193.89332697322106
Horticulture,1.1713264725048982,0.42692403891512126,0.13858666431872546,7.086820765574022
Stream,324.866854578465,463.3764238643331,193.15533996594453,18.973065706387924
Sugarcane,20.073450664781483,452.0533307354065,42.92745259293009,395.2757852351277
Urban + Other,13.917525306468637,0.0,0.0,84.40300359427701
