FU,FS,PN,PP,DIN
Bananas,0.0,0.0,0.0,0.0
Conservation,249.5129401133744,542.0928227945764,226.13428260969536,240.56700282843997
Cropping,11.519450754893153,22.343654766825765,22.44568469412387,15.817289258689309
Dairy,0.0,0.0,0.0,0.0
Forestry,10.570698888363925,31.203084158821543,17.061022795936182,18.26663700207308
Grazing,2926.2547728751815,3300.9765526304086,2221.575731018407,743.5237987181594
Horticulture,10.714959314152706,7.10221609591709,7.821206991699442,53.870366066048646
Stream,153.7774387819689,141.29179512668833,138.87940843261887,45.46934982958032
Sugarcane,23.51148884932859,108.20227350761272,38.113451398438436,642.4834630427496
Urban + Other,15.294714217173604,16.478622446275182,8.496595176035814,56.55822554669049
