FU,FS,PN,PP,DIN
Bananas,0.0,0.0,0.0,0.0
Conservation,66.19140994480924,245.38453212834605,94.65694148798107,38.371167544217435
Cropping,58.67050991464314,326.2547832316009,114.58758661600422,84.7762098736726
Dairy,0.0,0.0,0.0,0.0
Forestry,41.62158424520732,150.89654239264576,62.66408861056367,90.67186703804327
Grazing,876.0112109206098,1709.8854579039848,952.3324323935509,521.5199536486641
Horticulture,0.5458871737708774,0.26295021385442263,0.12504825460163507,3.9255235801634822
Stream,448.4981768835863,554.6444046734466,380.7379698278449,50.00047462840699
Sugarcane,0.5959338281224952,3.445683563425483,3.3558650909583942,15.522117189224884
Urban + Other,11.374138441332244,6.69632218023924,4.371738743440579,49.586860534217045
