Region,Basin,BasinScale,Constituent,PercentReduction,Units
WT,Johnstone,Manag_Unit_48,DIP,0.26582518254560306,%
WT,Lower Herbert,Manag_Unit_48,DIP,0.0,%
WT,Mossman,Manag_Unit_48,DIP,0.0,%
WT,Mulgrave-Russell,Manag_Unit_48,DIP,0.0,%
WT,Murray,Manag_Unit_48,DIP,0.0,%
WT,Tully,Manag_Unit_48,DIP,0.012257376851300107,%
WT,Upper Herbert,Manag_Unit_48,DIP,0.0,%
BM,Baffle,Manag_Unit_48,DON,6.640700032498315e-09,%
BM,Burnett,Manag_Unit_48,DON,3.737220228326555e-09,%
BM,Burrum,Manag_Unit_48,DON,7.031349787630309e-09,%
BM,Kolan,Manag_Unit_48,DON,1.8563108786997399e-09,%
BM,Mary,Manag_Unit_48,DON,3.2562719961586495e-09,%
BU,Belyando,Manag_Unit_48,DON,-0.0,%
BU,Black,Manag_Unit_48,DON,0.0,%
BU,Bowen Bogie,Manag_Unit_48,DON,0.0,%
BU,Burdekin Delta,Manag_Unit_48,DON,0.0,%
BU,Cape Campaspe,Manag_Unit_48,DON,0.0,%
BU,Don,Manag_Unit_48,DON,0.0,%
BU,East Burdekin,Manag_Unit_48,DON,0.0,%
BU,Haughton,Manag_Unit_48,DON,0.0,%
BU,Ross,Manag_Unit_48,DON,0.0,%
BU,Suttor,Manag_Unit_48,DON,-0.0,%
BU,Upper Burdekin,Manag_Unit_48,DON,0.0,%
CY,Endeavour,Manag_Unit_48,DON,0.0,%
CY,Jacky Jacky,Manag_Unit_48,DON,0.0,%
CY,Jeannie,Manag_Unit_48,DON,0.0,%
CY,Lockhart,Manag_Unit_48,DON,0.0,%
CY,Normanby,Manag_Unit_48,DON,0.0,%
CY,Olive Pascoe,Manag_Unit_48,DON,0.0,%
CY,Stewart,Manag_Unit_48,DON,0.0,%
FI,Boyne,Manag_Unit_48,DON,0.0,%
FI,Calliope,Manag_Unit_48,DON,0.0,%
FI,Comet,Manag_Unit_48,DON,0.0,%
FI,Dawson,Manag_Unit_48,DON,0.0,%
FI,Fitzroy,Manag_Unit_48,DON,0.0,%
FI,Isaac,Manag_Unit_48,DON,0.0,%
FI,Mackenzie,Manag_Unit_48,DON,0.0,%
FI,Nogoa,Manag_Unit_48,DON,0.0,%
FI,Shoalwater,Manag_Unit_48,DON,0.0,%
FI,Styx,Manag_Unit_48,DON,0.0,%
FI,Theresa,Manag_Unit_48,DON,0.0,%
FI,Water Park,Manag_Unit_48,DON,0.0,%
MW,O-Connell,Manag_Unit_48,DON,0.0,%
MW,Pioneer,Manag_Unit_48,DON,0.0,%
MW,Plane,Manag_Unit_48,DON,0.0,%
MW,Proserpine,Manag_Unit_48,DON,0.0,%
WT,Barron,Manag_Unit_48,DON,0.0,%
WT,Daintree,Manag_Unit_48,DON,0.0,%
WT,Johnstone,Manag_Unit_48,DON,0.0,%
WT,Lower Herbert,Manag_Unit_48,DON,0.0,%
WT,Mossman,Manag_Unit_48,DON,0.0,%
WT,Mulgrave-Russell,Manag_Unit_48,DON,0.0,%
WT,Murray,Manag_Unit_48,DON,0.0,%
WT,Tully,Manag_Unit_48,DON,0.0,%
WT,Upper Herbert,Manag_Unit_48,DON,0.0,%
BM,Baffle,Manag_Unit_48,DOP,-1.1894672748718958e-08,%
BM,Burnett,Manag_Unit_48,DOP,-3.634647429107134e-09,%
BM,Burrum,Manag_Unit_48,DOP,2.8185618231163063e-09,%
BM,Kolan,Manag_Unit_48,DOP,-1.3900483906630072e-09,%
BM,Mary,Manag_Unit_48,DOP,3.9395403988630927e-10,%
BU,Belyando,Manag_Unit_48,DOP,-0.20897768657145913,%
BU,Black,Manag_Unit_48,DOP,0.0,%
BU,Bowen Bogie,Manag_Unit_48,DOP,0.0,%
BU,Burdekin Delta,Manag_Unit_48,DOP,0.0,%
BU,Cape Campaspe,Manag_Unit_48,DOP,0.0,%
BU,Don,Manag_Unit_48,DOP,0.0,%
BU,East Burdekin,Manag_Unit_48,DOP,0.0,%
BU,Haughton,Manag_Unit_48,DOP,0.0,%
BU,Ross,Manag_Unit_48,DOP,0.0,%
BU,Suttor,Manag_Unit_48,DOP,-0.16034051618612474,%
BU,Upper Burdekin,Manag_Unit_48,DOP,0.0,%
CY,Endeavour,Manag_Unit_48,DOP,0.0,%
CY,Jacky Jacky,Manag_Unit_48,DOP,0.0,%
CY,Jeannie,Manag_Unit_48,DOP,0.0,%
CY,Lockhart,Manag_Unit_48,DOP,0.0,%
CY,Normanby,Manag_Unit_48,DOP,0.0,%
CY,Olive Pascoe,Manag_Unit_48,DOP,0.0,%
CY,Stewart,Manag_Unit_48,DOP,0.0,%
FI,Boyne,Manag_Unit_48,DOP,0.0,%
FI,Calliope,Manag_Unit_48,DOP,0.0,%
FI,Comet,Manag_Unit_48,DOP,-2.349831437680535e-11,%
FI,Dawson,Manag_Unit_48,DOP,5.112041795173065,%
FI,Fitzroy,Manag_Unit_48,DOP,0.32602580585664365,%
FI,Isaac,Manag_Unit_48,DOP,26.239990548648883,%
FI,Mackenzie,Manag_Unit_48,DOP,5.455836946187255,%
FI,Nogoa,Manag_Unit_48,DOP,17.044310988522188,%
FI,Shoalwater,Manag_Unit_48,DOP,0.0,%
FI,Styx,Manag_Unit_48,DOP,0.0,%
FI,Theresa,Manag_Unit_48,DOP,10.09116847082457,%
FI,Water Park,Manag_Unit_48,DOP,0.0,%
MW,O-Connell,Manag_Unit_48,DOP,0.0,%
MW,Pioneer,Manag_Unit_48,DOP,0.0,%
MW,Plane,Manag_Unit_48,DOP,0.0,%
MW,Proserpine,Manag_Unit_48,DOP,0.0,%
WT,Barron,Manag_Unit_48,DOP,0.0,%
WT,Daintree,Manag_Unit_48,DOP,0.0,%
WT,Johnstone,Manag_Unit_48,DOP,0.4443256504968904,%
WT,Lower Herbert,Manag_Unit_48,DOP,0.0,%
WT,Mossman,Manag_Unit_48,DOP,0.0,%
WT,Mulgrave-Russell,Manag_Unit_48,DOP,0.0,%
WT,Murray,Manag_Unit_48,DOP,0.0,%
WT,Tully,Manag_Unit_48,DOP,0.02385946312798176,%
WT,Upper Herbert,Manag_Unit_48,DOP,0.0,%
BM,Baffle,Manag_Unit_48,FS,0.05026205513656175,%
BM,Burnett,Manag_Unit_48,FS,0.15461022566219368,%
BM,Burrum,Manag_Unit_48,FS,0.6968548817859496,%
