Region,Basin,BasinScale,Constituent,PercentReduction,Units
WT,Barron,Manag_Unit_48,DIP,-1.0485572117428876e-13,%
WT,Daintree,Manag_Unit_48,DIP,0.0,%
WT,Johnstone,Manag_Unit_48,DIP,0.2661583619571212,%
WT,Lower Herbert,Manag_Unit_48,DIP,0.0,%
WT,Mossman,Manag_Unit_48,DIP,0.0,%
WT,Mulgrave-Russell,Manag_Unit_48,DIP,0.0,%
WT,Murray,Manag_Unit_48,DIP,0.0,%
WT,Tully,Manag_Unit_48,DIP,0.012274980992689742,%
WT,Upper Herbert,Manag_Unit_48,DIP,0.0,%
BM,Baffle,Manag_Unit_48,DON,-2.9127165463414145e-09,%
BM,Burnett,Manag_Unit_48,DON,1.7776344585540103e-09,%
BM,Burrum,Manag_Unit_48,DON,3.963068054090815e-09,%
BM,Kolan,Manag_Unit_48,DON,2.9155668423943654e-09,%
BM,Mary,Manag_Unit_48,DON,1.5705059189222248e-09,%
BU,Belyando,Manag_Unit_48,DON,-0.0,%
BU,Black,Manag_Unit_48,DON,0.0,%
BU,Bowen Bogie,Manag_Unit_48,DON,0.0,%
BU,Burdekin Delta,Manag_Unit_48,DON,0.0,%
BU,Cape Campaspe,Manag_Unit_48,DON,0.0,%
BU,Don,Manag_Unit_48,DON,0.0,%
BU,East Burdekin,Manag_Unit_48,DON,0.0,%
BU,Haughton,Manag_Unit_48,DON,0.0,%
BU,Ross,Manag_Unit_48,DON,0.0,%
BU,Suttor,Manag_Unit_48,DON,-0.0,%
BU,Upper Burdekin,Manag_Unit_48,DON,0.0,%
CY,Endeavour,Manag_Unit_48,DON,0.0,%
CY,Jacky Jacky,Manag_Unit_48,DON,0.0,%
CY,Jeannie,Manag_Unit_48,DON,0.0,%
CY,Lockhart,Manag_Unit_48,DON,0.0,%
CY,Normanby,Manag_Unit_48,DON,0.0,%
CY,Olive Pascoe,Manag_Unit_48,DON,0.0,%
CY,Stewart,Manag_Unit_48,DON,0.0,%
FI,Boyne,Manag_Unit_48,DON,0.0,%
FI,Calliope,Manag_Unit_48,DON,0.0,%
FI,Comet,Manag_Unit_48,DON,0.0,%
FI,Dawson,Manag_Unit_48,DON,0.0,%
FI,Fitzroy,Manag_Unit_48,DON,0.0,%
FI,Isaac,Manag_Unit_48,DON,0.0,%
FI,Mackenzie,Manag_Unit_48,DON,0.0,%
FI,Nogoa,Manag_Unit_48,DON,0.0,%
FI,Shoalwater,Manag_Unit_48,DON,0.0,%
FI,Styx,Manag_Unit_48,DON,0.0,%
FI,Theresa,Manag_Unit_48,DON,0.0,%
FI,Water Park,Manag_Unit_48,DON,0.0,%
MW,O-Connell,Manag_Unit_48,DON,0.0,%
MW,Pioneer,Manag_Unit_48,DON,0.0,%
MW,Plane,Manag_Unit_48,DON,0.0,%
MW,Proserpine,Manag_Unit_48,DON,0.0,%
WT,Barron,Manag_Unit_48,DON,1.8337553461698587e-13,%
WT,Daintree,Manag_Unit_48,DON,0.0,%
WT,Johnstone,Manag_Unit_48,DON,0.0,%
WT,Lower Herbert,Manag_Unit_48,DON,0.0,%
WT,Mossman,Manag_Unit_48,DON,0.0,%
WT,Mulgrave-Russell,Manag_Unit_48,DON,0.0,%
WT,Murray,Manag_Unit_48,DON,0.0,%
WT,Tully,Manag_Unit_48,DON,0.0,%
WT,Upper Herbert,Manag_Unit_48,DON,0.0,%
BM,Baffle,Manag_Unit_48,DOP,-2.805384626919852e-09,%
BM,Burnett,Manag_Unit_48,DOP,-1.5771588270948605e-09,%
BM,Burrum,Manag_Unit_48,DOP,3.1549209399018395e-09,%
BM,Kolan,Manag_Unit_48,DOP,-5.420559538859839e-09,%
BM,Mary,Manag_Unit_48,DOP,-7.431025028365133e-09,%
BU,Belyando,Manag_Unit_48,DOP,-0.23373779851073853,%
BU,Black,Manag_Unit_48,DOP,0.0,%
BU,Bowen Bogie,Manag_Unit_48,DOP,0.017478916383729972,%
BU,Burdekin Delta,Manag_Unit_48,DOP,4.207221977307841e-05,%
BU,Cape Campaspe,Manag_Unit_48,DOP,0.00447692058368259,%
BU,Don,Manag_Unit_48,DOP,0.0,%
BU,East Burdekin,Manag_Unit_48,DOP,0.000535956919654888,%
BU,Haughton,Manag_Unit_48,DOP,0.0,%
BU,Ross,Manag_Unit_48,DOP,0.0,%
BU,Suttor,Manag_Unit_48,DOP,-0.16000489732849163,%
BU,Upper Burdekin,Manag_Unit_48,DOP,0.001988022747689981,%
CY,Endeavour,Manag_Unit_48,DOP,0.0,%
CY,Jacky Jacky,Manag_Unit_48,DOP,0.0,%
CY,Jeannie,Manag_Unit_48,DOP,0.0,%
CY,Lockhart,Manag_Unit_48,DOP,0.0,%
CY,Normanby,Manag_Unit_48,DOP,0.0,%
CY,Olive Pascoe,Manag_Unit_48,DOP,0.0,%
CY,Stewart,Manag_Unit_48,DOP,0.0,%
FI,Boyne,Manag_Unit_48,DOP,0.0,%
FI,Calliope,Manag_Unit_48,DOP,0.0,%
FI,Comet,Manag_Unit_48,DOP,0.001585094617167404,%
FI,Dawson,Manag_Unit_48,DOP,4.947983205978615,%
FI,Fitzroy,Manag_Unit_48,DOP,0.3245283182597205,%
FI,Isaac,Manag_Unit_48,DOP,26.52009953841358,%
FI,Mackenzie,Manag_Unit_48,DOP,5.538773909798788,%
FI,Nogoa,Manag_Unit_48,DOP,19.405901842660526,%
FI,Shoalwater,Manag_Unit_48,DOP,0.0,%
FI,Styx,Manag_Unit_48,DOP,0.0,%
FI,Theresa,Manag_Unit_48,DOP,10.06566017710683,%
FI,Water Park,Manag_Unit_48,DOP,0.0,%
MW,O-Connell,Manag_Unit_48,DOP,0.0,%
MW,Pioneer,Manag_Unit_48,DOP,0.0,%
MW,Plane,Manag_Unit_48,DOP,0.0,%
MW,Proserpine,Manag_Unit_48,DOP,0.0,%
WT,Barron,Manag_Unit_48,DOP,2.701177632545316e-13,%
WT,Daintree,Manag_Unit_48,DOP,0.0,%
WT,Johnstone,Manag_Unit_48,DOP,0.4453200226032404,%
WT,Lower Herbert,Manag_Unit_48,DOP,0.0,%
WT,Mossman,Manag_Unit_48,DOP,0.0,%
WT,Mulgrave-Russell,Manag_Unit_48,DOP,0.0,%
WT,Murray,Manag_Unit_48,DOP,0.0,%
WT,Tully,Manag_Unit_48,DOP,0.02388119413328874,%
WT,Upper Herbert,Manag_Unit_48,DOP,0.0,%
BM,Baffle,Manag_Unit_48,FS,0.03791998474822032,%
BM,Burnett,Manag_Unit_48,FS,0.17155676456948385,%
BM,Burrum,Manag_Unit_48,FS,0.6571860237955234,%
BM,Kolan,Manag_Unit_48,FS,0.24429140926793225,%
BM,Mary,Manag_Unit_48,FS,6.796136741169962,%
BU,Belyando,Manag_Unit_48,FS,-0.036122901185234646,%
BU,Black,Manag_Unit_48,FS,0.0015988819486283292,%
BU,Bowen Bogie,Manag_Unit_48,FS,1.885254372095477,%
BU,Burdekin Delta,Manag_Unit_48,FS,2.6290476348826393,%
BU,Cape Campaspe,Manag_Unit_48,FS,-0.05310010743106156,%
BU,Don,Manag_Unit_48,FS,0.8285687892328111,%
BU,East Burdekin,Manag_Unit_48,FS,3.2817775729906002,%
BU,Haughton,Manag_Unit_48,FS,2.1808644936553843,%
BU,Ross,Manag_Unit_48,FS,0.2306426744386622,%
BU,Suttor,Manag_Unit_48,FS,0.2885739767936666,%
BU,Upper Burdekin,Manag_Unit_48,FS,0.360483148743933,%
CY,Endeavour,Manag_Unit_48,FS,1.4907615026027092,%
CY,Jacky Jacky,Manag_Unit_48,FS,0.0,%
CY,Jeannie,Manag_Unit_48,FS,0.0,%
CY,Lockhart,Manag_Unit_48,FS,0.0,%
CY,Normanby,Manag_Unit_48,FS,0.03563026262303594,%
CY,Olive Pascoe,Manag_Unit_48,FS,0.0,%
