Scenario,Region,Basin,Constituent,BasinScale,Units,LoadToStream
BASE,BU,Don,DIN,Manag_Unit_48,t/yr,101.92108753653108
BASE,BU,Don,DIP,Manag_Unit_48,t/yr,38.5312103214705
BASE,BU,Don,DON,Manag_Unit_48,t/yr,178.63173160802918
BASE,BU,Don,DOP,Manag_Unit_48,t/yr,19.210883113642463
BASE,BU,Don,FS,Manag_Unit_48,kt/yr,152.1786664810462
BASE,BU,Don,PN,Manag_Unit_48,t/yr,289.9586158197241
BASE,BU,Don,PP,Manag_Unit_48,t/yr,126.78969102682095
BASE,BU,East Burdekin,DIN,Manag_Unit_48,t/yr,53.222736675890516
BASE,BU,East Burdekin,DIP,Manag_Unit_48,t/yr,13.103158607419685
BASE,BU,East Burdekin,DON,Manag_Unit_48,t/yr,85.12087836573696
BASE,BU,East Burdekin,DOP,Manag_Unit_48,t/yr,5.179629926336145
BASE,BU,East Burdekin,FS,Manag_Unit_48,kt/yr,131.7903955770273
BASE,BU,East Burdekin,PN,Manag_Unit_48,t/yr,122.6501921905703
BASE,BU,East Burdekin,PP,Manag_Unit_48,t/yr,112.75798226107908
BASE,BU,Haughton,DIN,Manag_Unit_48,t/yr,388.80687087332825
BASE,BU,Haughton,DIP,Manag_Unit_48,t/yr,55.238661777911716
BASE,BU,Haughton,DON,Manag_Unit_48,t/yr,301.4310431859731
BASE,BU,Haughton,DOP,Manag_Unit_48,t/yr,19.086458831326595
BASE,BU,Haughton,FS,Manag_Unit_48,kt/yr,101.75012552661758
BASE,BU,Haughton,PN,Manag_Unit_48,t/yr,309.7250053392118
BASE,BU,Haughton,PP,Manag_Unit_48,t/yr,112.12940467032774
BASE,BU,Ross,DIN,Manag_Unit_48,t/yr,90.06427084594122
BASE,BU,Ross,DIP,Manag_Unit_48,t/yr,27.92208495262912
BASE,BU,Ross,DON,Manag_Unit_48,t/yr,179.58617610473542
BASE,BU,Ross,DOP,Manag_Unit_48,t/yr,8.705618155849082
BASE,BU,Ross,FS,Manag_Unit_48,kt/yr,78.60465107085813
BASE,BU,Ross,PN,Manag_Unit_48,t/yr,161.0016312994894
BASE,BU,Ross,PP,Manag_Unit_48,t/yr,77.8897290992657
BASE,BU,Suttor,DIN,Manag_Unit_48,t/yr,46.498284718440985
BASE,BU,Suttor,DIP,Manag_Unit_48,t/yr,36.459859476224665
BASE,BU,Suttor,DON,Manag_Unit_48,t/yr,370.59292057106364
BASE,BU,Suttor,DOP,Manag_Unit_48,t/yr,15.598485065109385
BASE,BU,Suttor,FS,Manag_Unit_48,kt/yr,110.31814694510052
BASE,BU,Suttor,PN,Manag_Unit_48,t/yr,159.95149395318663
BASE,BU,Suttor,PP,Manag_Unit_48,t/yr,79.73493719581334
BASE,BU,Upper Burdekin,DIN,Manag_Unit_48,t/yr,493.59593483437146
BASE,BU,Upper Burdekin,DIP,Manag_Unit_48,t/yr,106.43238154945412
BASE,BU,Upper Burdekin,DON,Manag_Unit_48,t/yr,1177.023725465888
BASE,BU,Upper Burdekin,DOP,Manag_Unit_48,t/yr,105.52446210878281
BASE,BU,Upper Burdekin,FS,Manag_Unit_48,kt/yr,3461.534370230225
BASE,BU,Upper Burdekin,PN,Manag_Unit_48,t/yr,3625.37251314401
BASE,BU,Upper Burdekin,PP,Manag_Unit_48,t/yr,2533.3329717210713
BASE,CY,Endeavour,DIN,Manag_Unit_48,t/yr,49.71066533798225
BASE,CY,Endeavour,DIP,Manag_Unit_48,t/yr,8.041773532851286
BASE,CY,Endeavour,DON,Manag_Unit_48,t/yr,270.3631617603081
BASE,CY,Endeavour,DOP,Manag_Unit_48,t/yr,16.494207985108627
BASE,CY,Endeavour,FS,Manag_Unit_48,kt/yr,91.0829600963769
BASE,CY,Endeavour,PN,Manag_Unit_48,t/yr,355.5382157306907
BASE,CY,Endeavour,PP,Manag_Unit_48,t/yr,127.76207939711327
BASE,CY,Jacky Jacky,DIN,Manag_Unit_48,t/yr,47.81618649174776
BASE,CY,Jacky Jacky,DIP,Manag_Unit_48,t/yr,4.240067873451049
BASE,CY,Jacky Jacky,DON,Manag_Unit_48,t/yr,286.1316478160365
BASE,CY,Jacky Jacky,DOP,Manag_Unit_48,t/yr,16.786065522003558
BASE,CY,Jacky Jacky,FS,Manag_Unit_48,kt/yr,11.915526444677717
BASE,CY,Jacky Jacky,PN,Manag_Unit_48,t/yr,193.27202354929042
BASE,CY,Jacky Jacky,PP,Manag_Unit_48,t/yr,70.7863582004979
BASE,CY,Jeannie,DIN,Manag_Unit_48,t/yr,33.283978049949226
BASE,CY,Jeannie,DIP,Manag_Unit_48,t/yr,4.729332210827563
BASE,CY,Jeannie,DON,Manag_Unit_48,t/yr,200.15951690301404
BASE,CY,Jeannie,DOP,Manag_Unit_48,t/yr,12.548753768864648
BASE,CY,Jeannie,FS,Manag_Unit_48,kt/yr,52.28016960690181
BASE,CY,Jeannie,PN,Manag_Unit_48,t/yr,205.561205431928
BASE,CY,Jeannie,PP,Manag_Unit_48,t/yr,109.1194076334184
BASE,CY,Lockhart,DIN,Manag_Unit_48,t/yr,39.77144342197023
BASE,CY,Lockhart,DIP,Manag_Unit_48,t/yr,3.444010215133932
BASE,CY,Lockhart,DON,Manag_Unit_48,t/yr,229.13069609732588
BASE,CY,Lockhart,DOP,Manag_Unit_48,t/yr,13.880735711606953
BASE,CY,Lockhart,FS,Manag_Unit_48,kt/yr,22.412951477666653
BASE,CY,Lockhart,PN,Manag_Unit_48,t/yr,84.90599618384907
BASE,CY,Lockhart,PP,Manag_Unit_48,t/yr,28.627419850581653
BASE,CY,Normanby,DIN,Manag_Unit_48,t/yr,181.41724836935188
BASE,CY,Normanby,DIP,Manag_Unit_48,t/yr,34.41427067042795
BASE,CY,Normanby,DON,Manag_Unit_48,t/yr,1300.9076974380334
BASE,CY,Normanby,DOP,Manag_Unit_48,t/yr,76.79370003438443
BASE,CY,Normanby,FS,Manag_Unit_48,kt/yr,318.112979892055
BASE,CY,Normanby,PN,Manag_Unit_48,t/yr,734.7897806188379
BASE,CY,Normanby,PP,Manag_Unit_48,t/yr,278.2876056634903
BASE,CY,Olive Pascoe,DIN,Manag_Unit_48,t/yr,142.96447696754728
BASE,CY,Olive Pascoe,DIP,Manag_Unit_48,t/yr,7.726245754617602
BASE,CY,Olive Pascoe,DON,Manag_Unit_48,t/yr,522.691314620568
BASE,CY,Olive Pascoe,DOP,Manag_Unit_48,t/yr,29.623477586981252
BASE,CY,Olive Pascoe,FS,Manag_Unit_48,kt/yr,86.4236454860073
BASE,CY,Olive Pascoe,PN,Manag_Unit_48,t/yr,465.6951490768551
BASE,CY,Olive Pascoe,PP,Manag_Unit_48,t/yr,66.97546952880508
BASE,CY,Stewart,DIN,Manag_Unit_48,t/yr,33.83413423250521
BASE,CY,Stewart,DIP,Manag_Unit_48,t/yr,2.732198421301453
BASE,CY,Stewart,DON,Manag_Unit_48,t/yr,183.81878339081214
BASE,CY,Stewart,DOP,Manag_Unit_48,t/yr,10.198420786602844
BASE,CY,Stewart,FS,Manag_Unit_48,kt/yr,16.48561577237798
BASE,CY,Stewart,PN,Manag_Unit_48,t/yr,75.79033081042498
BASE,CY,Stewart,PP,Manag_Unit_48,t/yr,21.911839996641667
BASE,FI,Boyne,DIN,Manag_Unit_48,t/yr,36.15387541143704
BASE,FI,Boyne,DIP,Manag_Unit_48,t/yr,26.30584033488657
BASE,FI,Boyne,DON,Manag_Unit_48,t/yr,99.9095119672595
BASE,FI,Boyne,DOP,Manag_Unit_48,t/yr,5.965849978066476
BASE,FI,Boyne,FS,Manag_Unit_48,kt/yr,43.755478970496846
BASE,FI,Boyne,PN,Manag_Unit_48,t/yr,165.76668692757164
BASE,FI,Boyne,PP,Manag_Unit_48,t/yr,72.95326912657121
BASE,FI,Calliope,DIN,Manag_Unit_48,t/yr,32.87419368120462
BASE,FI,Calliope,DIP,Manag_Unit_48,t/yr,18.19273250201854
BASE,FI,Calliope,DON,Manag_Unit_48,t/yr,83.17455028693335
BASE,FI,Calliope,DOP,Manag_Unit_48,t/yr,3.9165970158490144
BASE,FI,Calliope,FS,Manag_Unit_48,kt/yr,50.06497299564134
BASE,FI,Calliope,PN,Manag_Unit_48,t/yr,143.60308511658016
BASE,FI,Calliope,PP,Manag_Unit_48,t/yr,65.16420763228858
BASE,FI,Comet,DIN,Manag_Unit_48,t/yr,83.94980740482133
BASE,FI,Comet,DIP,Manag_Unit_48,t/yr,76.4238142543024
BASE,FI,Comet,DON,Manag_Unit_48,t/yr,188.8895198087828
BASE,FI,Comet,DOP,Manag_Unit_48,t/yr,18.276831265203693
BASE,FI,Comet,FS,Manag_Unit_48,kt/yr,354.3294422515411
BASE,FI,Comet,PN,Manag_Unit_48,t/yr,523.1597863951617
BASE,FI,Comet,PP,Manag_Unit_48,t/yr,385.913839411266
BASE,FI,Dawson,DIN,Manag_Unit_48,t/yr,177.85686800511374
BASE,FI,Dawson,DIP,Manag_Unit_48,t/yr,233.9625095200523
BASE,FI,Dawson,DON,Manag_Unit_48,t/yr,475.39051557773865
BASE,FI,Dawson,DOP,Manag_Unit_48,t/yr,57.45600644010744
BASE,FI,Dawson,FS,Manag_Unit_48,kt/yr,758.0820860627591
BASE,FI,Dawson,PN,Manag_Unit_48,t/yr,1498.2896587810926
BASE,FI,Dawson,PP,Manag_Unit_48,t/yr,927.6274467897023
BASE,FI,Fitzroy,DIN,Manag_Unit_48,t/yr,113.58793569694664
BASE,FI,Fitzroy,DIP,Manag_Unit_48,t/yr,107.84557822714088
BASE,FI,Fitzroy,DON,Manag_Unit_48,t/yr,201.0845777869955
BASE,FI,Fitzroy,DOP,Manag_Unit_48,t/yr,23.46352840911384
BASE,FI,Fitzroy,FS,Manag_Unit_48,kt/yr,269.57262017695086
