Region,Basin,BasinScale,DIN,DIP,DON,DOP,FS,PN,PP
BM,Baffle,Manag_Unit_48,64.89512016883245,21.67600249101162,189.33529844118388,10.115467829138685,9.322997855763369,38.387235741891544,21.092082628356998
BM,Burnett,Manag_Unit_48,96.62189242516291,31.48211227690308,300.12235660548396,16.233459991033996,41.98883706812896,124.26010887636188,44.391604645499626
BM,Burrum,Manag_Unit_48,34.20247148526756,8.530580510856575,94.06566822623739,4.948396711793533,6.802261097856489,21.518607236352935,6.20407547221315
BM,Kolan,Manag_Unit_48,29.3967131972071,9.769319753443716,89.28184466117202,4.559015884940397,13.777697336484069,48.085981819660226,16.484933721641983
BM,Mary,Manag_Unit_48,186.22991780147174,24.126336516440556,547.1040337427801,27.500363655491498,54.30584836296898,147.01330844643854,56.263275259993506
BU,Belyando,Manag_Unit_48,26.903050189931374,26.810929455821917,235.7470035916187,10.72409420956761,2.7749570400375547,2.559291438892057,2.2673649968170375
BU,Black,Manag_Unit_48,34.692757688823804,20.439791921354043,163.5511120442231,7.115156206056092,11.974436447047601,34.449312283540614,10.679597861433846
BU,Bowen Bogie,Manag_Unit_48,246.07982331313232,65.66646920034047,393.93221813359787,24.607056383411383,193.5473195492984,245.40235733442861,182.62439198376097
BU,Burdekin Delta,Manag_Unit_48,7.971166755041349,2.803791357528509,19.9128287004772,1.0540794678650953,8.02594871628099,16.611345798275124,15.432174133029381
BU,Cape Campaspe,Manag_Unit_48,32.1399980989545,12.933034436056564,212.0888368399415,12.751800478579938,5.689001139805627,10.775104096593655,4.119230773573318
BU,Don River,Manag_Unit_48,62.37044771190355,31.25719683242795,154.18125269791383,12.777094125990539,23.65708309229345,54.2715897441009,35.31240600172534
BU,East Burdekin,Manag_Unit_48,31.623271146984393,9.520269635411603,76.09323844583896,3.19428987339948,27.972971115258755,24.674013797791403,25.643673517835868
BU,Haughton,Manag_Unit_48,81.83610012187212,24.84497845152042,198.7231409976135,8.477758427146073,21.417075348683035,115.90773751939062,36.06873882945863
BU,Ross,Manag_Unit_48,31.503901907203037,17.688021695297742,141.09882071261237,6.525546009918255,17.544022558701496,64.95027972230612,18.479958857910518
BU,Suttor,Manag_Unit_48,34.114072857161794,26.910649735203545,335.6133681712204,7.639884734652522,3.818117042852578,4.163894195638649,2.4888267365487944
BU,Upper Burdekin,Manag_Unit_48,453.9081474222165,90.97788873031443,1088.215580846418,90.61042955788112,197.53966277895364,325.1325780439638,180.45723397232027
CY,Endeavour River,Manag_Unit_48,36.31925128950849,4.76602191657577,208.73011709400353,14.355841281411351,55.78069166943382,264.0884040133533,100.95324556846117
CY,Jacky Jacky Creek,Manag_Unit_48,45.492209934735634,3.840786691611621,258.3397578221426,15.66176194874842,10.669597311682812,174.9513025743652,68.04626012338707
CY,Jeannie River,Manag_Unit_48,31.521694177414975,4.101851839868638,177.00527901006478,11.65202512382402,34.61199423516592,173.72255500351838,98.63370322825062
CY,Lockhart River,Manag_Unit_48,39.087070419597175,3.3206375868422486,223.45107808480213,13.66284065862387,19.402685409214733,82.79460998118294,27.99339022287896
CY,Normanby River,Manag_Unit_48,162.44180113068094,24.307305928331942,879.4195331711878,65.3182975545833,41.70244640219553,213.73922728459846,81.0255673009599
CY,Olive-Pascoe,Manag_Unit_48,121.2091745519429,6.506516211318918,437.3923354905396,26.219122457658603,65.11638792902511,388.17718323123853,54.74500645563566
CY,Stewart River,Manag_Unit_48,33.51820028676567,2.6751241148815073,179.20165615649174,9.992141005394641,13.32446273224711,72.5718196970757,20.881268526437367
FI,Boyne,Manag_Unit_48,22.02479783773802,12.169121797441507,72.8542064042475,2.445711382906077,1.6631676365315315,8.103229330964279,3.172703133564936
FI,Calliope,Manag_Unit_48,24.538436466925543,13.5075527771874,80.67976530596839,2.708941364567651,8.00745117228029,41.193393488369445,17.02620655251946
FI,Comet,Manag_Unit_48,47.63056014645404,26.55779643961789,158.11566668942817,5.335451670645344,23.664801168643354,74.49848968535377,65.11182073614901
FI,Dawson,Manag_Unit_48,132.7826625522495,70.50797241178857,424.6874984291177,14.11995395425446,66.99051743258144,340.7747248626761,195.18833109778262
FI,Fitzroy,Manag_Unit_48,54.268681207205574,29.935777143996404,177.67468139721063,5.991616785399362,55.36288498160966,176.70419686898808,91.32880965627683
FI,Isaac,Manag_Unit_48,193.5177384461264,105.05725641750251,629.8212055078542,21.036743778045373,28.33957623187343,165.21621419686758,96.94898030958328
FI,Mackenzie,Manag_Unit_48,43.548561346046036,23.93228463231598,142.4018054744294,4.7880125364023955,55.533086713590215,115.11490137150744,76.48186018743111
FI,Nogoa,Manag_Unit_48,35.44716275186315,19.67855616380095,118.46706573970889,3.9637931566087294,8.636297968075901,25.424920851016303,14.319947958299517
FI,Shoalwater,Manag_Unit_48,16.87003417873292,11.166283587205015,66.90952590006006,2.322078074477587,20.538669515002496,83.05822508739243,26.741646793602417
FI,Styx,Manag_Unit_48,22.997084057679405,12.751252228020306,76.68816267223168,2.5660212500471458,13.433836616202269,67.20609237934545,21.312840650748317
FI,Theresa,Manag_Unit_48,19.289594212480477,10.595772516861626,62.84047668006437,2.118138578644784,7.839205199008226,24.930499414566363,11.934466389508305
FI,Waterpark,Manag_Unit_48,29.12307889607908,17.16071427705435,106.55478425412741,3.584497068353668,7.929344461078151,53.48502276936901,12.536954293300278
MW,OConnel,Manag_Unit_48,89.16973833669174,21.415472265576316,456.8520920052128,13.258819950201941,36.97074079360978,138.91560855206671,39.25221146940343
MW,Pioneer,Manag_Unit_48,44.61391311734458,10.455124985471564,129.59575699363316,8.734231320299022,30.61333020469846,106.05467150949119,42.635779448285874
MW,PlaneC,Manag_Unit_48,85.42436551836582,26.46561463744254,408.72638842255833,12.980649543750461,17.47121357308961,114.5584118459435,24.84249385917407
MW,Prossie,Manag_Unit_48,78.89314517833482,18.79991216024569,197.13666731076557,11.92955026584811,11.272048427722504,70.9542152533519,19.0478594334797
WT,Barron,Manag_Unit_48,34.5825521433203,4.231495147545286,167.3539302951152,6.314114805757717,83.96381596044066,241.1916251308525,52.3869228754494
WT,Daintree,Manag_Unit_48,324.67340884381025,10.181687995006259,475.927261679509,37.56138621495222,68.7470787793792,716.4630825153444,128.36058578133532
WT,Johnstone,Manag_Unit_48,237.29308614225653,18.174740887514293,248.73620612041395,37.79981339855385,110.9078687410183,652.3557858473581,155.41768187798957
WT,Lower Herbert,Manag_Unit_48,137.6712441161111,12.827335967358293,402.9378033153832,37.033093620840546,62.486243894543954,263.96624604695097,35.721141314448474
WT,Mossman,Manag_Unit_48,29.013100782919214,2.9630425974087125,56.36800662761139,4.995249756773799,9.549249821548571,32.54144459741088,6.891760015969914
WT,Mulgrave-Russell,Manag_Unit_48,204.5922066741391,12.995406826580336,364.4591388589765,30.52886711376437,42.21093246619978,315.40475846802315,54.97927010069822
WT,Murray,Manag_Unit_48,108.2936075049817,3.4708701610575705,128.61892411885552,10.829360750498143,19.021945996746595,85.72395775079418,11.266360893150246
WT,Tully,Manag_Unit_48,258.12946295844614,7.296776087482351,305.74576942943975,31.774468732601516,53.21757800403447,271.1744499429115,49.3168388291426
WT,Upper Herbert,Manag_Unit_48,84.26383495391931,7.578053861342792,248.0292805702221,28.84133094723429,119.28166872925722,321.4163806132214,79.83688820999043
