Region,Basin,BasinScale,Constituent,Reduction,Units
FI,Mackenzie,Manag_Unit_48,DIP,1.9251065812774236e-05,t/yr
FI,Nogoa,Manag_Unit_48,DIP,9.055251256162874e-05,t/yr
FI,Shoalwater,Manag_Unit_48,DIP,0.0,t/yr
FI,Styx,Manag_Unit_48,DIP,0.0,t/yr
FI,Theresa,Manag_Unit_48,DIP,3.167869142988948e-05,t/yr
FI,Water Park,Manag_Unit_48,DIP,0.0,t/yr
MW,O-Connell,Manag_Unit_48,DIP,0.0,t/yr
MW,Pioneer,Manag_Unit_48,DIP,0.0,t/yr
MW,Plane,Manag_Unit_48,DIP,0.0,t/yr
MW,Proserpine,Manag_Unit_48,DIP,0.0,t/yr
WT,Barron,Manag_Unit_48,DIP,-2.9605947323337507e-19,t/yr
WT,Daintree,Manag_Unit_48,DIP,0.0,t/yr
WT,Johnstone,Manag_Unit_48,DIP,5.287739298299717e-06,t/yr
WT,Lower Herbert,Manag_Unit_48,DIP,0.0,t/yr
WT,Mossman,Manag_Unit_48,DIP,0.0,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,DIP,0.0,t/yr
WT,Murray,Manag_Unit_48,DIP,0.0,t/yr
WT,Tully,Manag_Unit_48,DIP,7.107603917096602e-08,t/yr
WT,Upper Herbert,Manag_Unit_48,DIP,0.0,t/yr
BM,Baffle,Manag_Unit_48,DON,-1.5658277637461043e-13,t/yr
BM,Burnett,Manag_Unit_48,DON,1.081881843371472e-13,t/yr
BM,Burrum,Manag_Unit_48,DON,9.082251987517035e-14,t/yr
BM,Kolan,Manag_Unit_48,DON,8.187820791742221e-14,t/yr
BM,Mary,Manag_Unit_48,DON,2.0249141622722769e-13,t/yr
BU,Belyando,Manag_Unit_48,DON,0.0,t/yr
BU,Black,Manag_Unit_48,DON,0.0,t/yr
BU,Bowen Bogie,Manag_Unit_48,DON,0.0,t/yr
BU,Burdekin Delta,Manag_Unit_48,DON,0.0,t/yr
BU,Cape Campaspe,Manag_Unit_48,DON,0.0,t/yr
BU,Don,Manag_Unit_48,DON,0.0,t/yr
BU,East Burdekin,Manag_Unit_48,DON,0.0,t/yr
BU,Haughton,Manag_Unit_48,DON,0.0,t/yr
BU,Ross,Manag_Unit_48,DON,0.0,t/yr
BU,Suttor,Manag_Unit_48,DON,0.0,t/yr
BU,Upper Burdekin,Manag_Unit_48,DON,0.0,t/yr
CY,Endeavour,Manag_Unit_48,DON,0.0,t/yr
CY,Jacky Jacky,Manag_Unit_48,DON,0.0,t/yr
CY,Jeannie,Manag_Unit_48,DON,0.0,t/yr
CY,Lockhart,Manag_Unit_48,DON,0.0,t/yr
CY,Normanby,Manag_Unit_48,DON,0.0,t/yr
CY,Olive Pascoe,Manag_Unit_48,DON,0.0,t/yr
CY,Stewart,Manag_Unit_48,DON,0.0,t/yr
FI,Boyne,Manag_Unit_48,DON,0.0,t/yr
FI,Calliope,Manag_Unit_48,DON,0.0,t/yr
FI,Comet,Manag_Unit_48,DON,0.0,t/yr
FI,Dawson,Manag_Unit_48,DON,0.0,t/yr
FI,Fitzroy,Manag_Unit_48,DON,0.0,t/yr
FI,Isaac,Manag_Unit_48,DON,0.0,t/yr
FI,Mackenzie,Manag_Unit_48,DON,0.0,t/yr
FI,Nogoa,Manag_Unit_48,DON,0.0,t/yr
FI,Shoalwater,Manag_Unit_48,DON,0.0,t/yr
FI,Styx,Manag_Unit_48,DON,0.0,t/yr
FI,Theresa,Manag_Unit_48,DON,0.0,t/yr
FI,Water Park,Manag_Unit_48,DON,0.0,t/yr
MW,O-Connell,Manag_Unit_48,DON,0.0,t/yr
MW,Pioneer,Manag_Unit_48,DON,0.0,t/yr
MW,Plane,Manag_Unit_48,DON,0.0,t/yr
MW,Proserpine,Manag_Unit_48,DON,0.0,t/yr
WT,Barron,Manag_Unit_48,DON,5.684341886080802e-18,t/yr
WT,Daintree,Manag_Unit_48,DON,0.0,t/yr
WT,Johnstone,Manag_Unit_48,DON,0.0,t/yr
WT,Lower Herbert,Manag_Unit_48,DON,0.0,t/yr
WT,Mossman,Manag_Unit_48,DON,0.0,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,DON,0.0,t/yr
WT,Murray,Manag_Unit_48,DON,0.0,t/yr
WT,Tully,Manag_Unit_48,DON,0.0,t/yr
WT,Upper Herbert,Manag_Unit_48,DON,0.0,t/yr
BM,Baffle,Manag_Unit_48,DOP,-3.378867556117863e-15,t/yr
BM,Burnett,Manag_Unit_48,DOP,-3.432276685089164e-15,t/yr
BM,Burrum,Manag_Unit_48,DOP,2.580010279492247e-15,t/yr
BM,Kolan,Manag_Unit_48,DOP,-5.1357732881266806e-15,t/yr
BM,Mary,Manag_Unit_48,DOP,-2.1150488767792315e-14,t/yr
BU,Belyando,Manag_Unit_48,DOP,-2.9746467261896708e-08,t/yr
BU,Black,Manag_Unit_48,DOP,0.0,t/yr
BU,Bowen Bogie,Manag_Unit_48,DOP,1.531035436859914e-09,t/yr
BU,Burdekin Delta,Manag_Unit_48,DOP,1.1946231932569163e-10,t/yr
BU,Cape Campaspe,Manag_Unit_48,DOP,4.803211827090574e-09,t/yr
BU,Don,Manag_Unit_48,DOP,0.0,t/yr
BU,East Burdekin,Manag_Unit_48,DOP,2.9947225795486546e-10,t/yr
BU,Haughton,Manag_Unit_48,DOP,0.0,t/yr
BU,Ross,Manag_Unit_48,DOP,0.0,t/yr
BU,Suttor,Manag_Unit_48,DOP,-3.3524461455236573e-07,t/yr
BU,Upper Burdekin,Manag_Unit_48,DOP,4.714335250355362e-09,t/yr
CY,Endeavour,Manag_Unit_48,DOP,0.0,t/yr
CY,Jacky Jacky,Manag_Unit_48,DOP,0.0,t/yr
CY,Jeannie,Manag_Unit_48,DOP,0.0,t/yr
CY,Lockhart,Manag_Unit_48,DOP,0.0,t/yr
CY,Normanby,Manag_Unit_48,DOP,0.0,t/yr
CY,Olive Pascoe,Manag_Unit_48,DOP,0.0,t/yr
CY,Stewart,Manag_Unit_48,DOP,0.0,t/yr
FI,Boyne,Manag_Unit_48,DOP,0.0,t/yr
FI,Calliope,Manag_Unit_48,DOP,0.0,t/yr
FI,Comet,Manag_Unit_48,DOP,5.365144577614464e-09,t/yr
FI,Dawson,Manag_Unit_48,DOP,6.286870221890363e-05,t/yr
FI,Fitzroy,Manag_Unit_48,DOP,1.8770878665429553e-06,t/yr
FI,Isaac,Manag_Unit_48,DOP,4.368752941654428e-05,t/yr
FI,Mackenzie,Manag_Unit_48,DOP,4.81403570495497e-06,t/yr
FI,Nogoa,Manag_Unit_48,DOP,2.264010994053223e-05,t/yr
FI,Shoalwater,Manag_Unit_48,DOP,0.0,t/yr
FI,Styx,Manag_Unit_48,DOP,0.0,t/yr
FI,Theresa,Manag_Unit_48,DOP,7.910254564924913e-06,t/yr
FI,Water Park,Manag_Unit_48,DOP,0.0,t/yr
MW,O-Connell,Manag_Unit_48,DOP,0.0,t/yr
MW,Pioneer,Manag_Unit_48,DOP,0.0,t/yr
MW,Plane,Manag_Unit_48,DOP,0.0,t/yr
MW,Proserpine,Manag_Unit_48,DOP,0.0,t/yr
WT,Barron,Manag_Unit_48,DOP,5.921189464667501e-19,t/yr
WT,Daintree,Manag_Unit_48,DOP,0.0,t/yr
WT,Johnstone,Manag_Unit_48,DOP,6.430229703890689e-06,t/yr
WT,Lower Herbert,Manag_Unit_48,DOP,0.0,t/yr
WT,Mossman,Manag_Unit_48,DOP,0.0,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,DOP,0.0,t/yr
WT,Murray,Manag_Unit_48,DOP,0.0,t/yr
WT,Tully,Manag_Unit_48,DOP,2.3692013057470262e-07,t/yr
WT,Upper Herbert,Manag_Unit_48,DOP,0.0,t/yr
BM,Baffle,Manag_Unit_48,FS,2.2186221219300252e-10,kt/yr
BM,Burnett,Manag_Unit_48,FS,1.129489679346515e-08,kt/yr
BM,Burrum,Manag_Unit_48,FS,1.7263568383108682e-09,kt/yr
BM,Kolan,Manag_Unit_48,FS,2.7319201048844852e-09,kt/yr
BM,Mary,Manag_Unit_48,FS,5.073890446991621e-07,kt/yr
BU,Belyando,Manag_Unit_48,FS,-2.81584712013346e-10,kt/yr
BU,Black,Manag_Unit_48,FS,1.3642569661461341e-11,kt/yr
BU,Bowen Bogie,Manag_Unit_48,FS,9.34865876766806e-07,kt/yr
BU,Burdekin Delta,Manag_Unit_48,FS,2.2488390621836153e-08,kt/yr
BU,Cape Campaspe,Manag_Unit_48,FS,-7.61087070948463e-10,kt/yr
BU,Don,Manag_Unit_48,FS,3.537117126591056e-08,kt/yr
BU,East Burdekin,Manag_Unit_48,FS,1.003916501902817e-07,kt/yr
BU,Haughton,Manag_Unit_48,FS,5.806140376075935e-08,kt/yr
BU,Ross,Manag_Unit_48,FS,1.9006260917052486e-09,kt/yr
BU,Suttor,Manag_Unit_48,FS,2.834840937096317e-09,kt/yr
BU,Upper Burdekin,Manag_Unit_48,FS,1.1609114351435134e-07,kt/yr
CY,Endeavour,Manag_Unit_48,FS,1.7257613628349588e-08,kt/yr
CY,Jacky Jacky,Manag_Unit_48,FS,0.0,kt/yr
CY,Jeannie,Manag_Unit_48,FS,0.0,kt/yr
CY,Lockhart,Manag_Unit_48,FS,0.0,kt/yr
CY,Normanby,Manag_Unit_48,FS,9.71561692558017e-10,kt/yr
CY,Olive Pascoe,Manag_Unit_48,FS,0.0,kt/yr
CY,Stewart,Manag_Unit_48,FS,0.0,kt/yr
FI,Boyne,Manag_Unit_48,FS,2.573160498571999e-12,kt/yr
FI,Calliope,Manag_Unit_48,FS,1.5693103043470793e-08,kt/yr
FI,Comet,Manag_Unit_48,FS,-6.946621755196247e-09,kt/yr
FI,Dawson,Manag_Unit_48,FS,-1.9888646399236145e-08,kt/yr
FI,Fitzroy,Manag_Unit_48,FS,1.2733658139888726e-06,kt/yr
FI,Isaac,Manag_Unit_48,FS,1.6702629896591738e-08,kt/yr
