Region,Basin,BasinScale,DIN,DIP,DON,DOP,FS,PN,PP
BM,Baffle,Manag_Unit_48,90.81039720712204,23.516277649960514,350.61028749823856,13.728734463371067,26.868739254279,99.6961648031108,54.516338924440426
BM,Burnett,Manag_Unit_48,217.66074526237762,44.65165326338607,482.70463691843656,22.762181054845136,239.1629851513078,559.2916594854732,192.89134876331482
BM,Burrum,Manag_Unit_48,76.77395243724283,14.972940850573963,162.81734139860762,7.4017167745376,14.631146985647032,47.7699686199817,16.018891033446838
BM,Kolan,Manag_Unit_48,86.76362733758208,13.3663705672849,173.5311989114012,7.401401390488406,47.244853634696895,162.77129435850375,54.17254067400539
BM,Mary,Manag_Unit_48,389.4728214592012,46.649771871051584,933.9056633023986,36.03908692258992,263.0595312664768,682.1623617257632,264.26661516511206
BU,Belyando,Manag_Unit_48,27.2936042224072,27.11193582225318,235.6618481699373,11.106779374606155,26.16896078875303,22.9951185669092,19.30743150074869
BU,Black,Manag_Unit_48,57.511446488078874,22.64626549591216,179.48121498567494,8.04687295385629,37.57173250367276,68.86078982716867,26.565785431918336
BU,Bowen Bogie,Manag_Unit_48,241.0205942811306,66.06410068692577,394.770283771829,24.86979026144761,1653.1507935340467,1950.3212057253315,1364.9230633978823
BU,Burdekin Delta,Manag_Unit_48,379.3521291704744,32.55208445541817,69.76345404282291,9.572451189840516,33.012746022120325,87.13762945386979,52.36212853935094
BU,Cape Campaspe,Manag_Unit_48,31.450008367531,16.232907046058966,212.185239939919,15.970305275348611,48.71101630179399,95.53713615121636,33.1680754554187
BU,Don River,Manag_Unit_48,101.91996717348243,38.53087363556934,178.6298888311553,19.210750040683156,150.66438979845606,284.9774239839701,124.9337912474433
BU,East Burdekin,Manag_Unit_48,48.95348070747475,12.347881898681143,80.19672151742782,4.8705663161334085,116.73311774582382,106.52372038987484,99.26837875535301
BU,Haughton,Manag_Unit_48,353.1082198339014,55.23795615922211,301.42582514835055,19.086264401259754,99.54457486117367,299.88658300984224,109.00443354829943
BU,Ross,Manag_Unit_48,88.02321273491364,26.874517787127488,171.41753645779264,8.357242033716352,42.20870061281268,106.31863857682006,41.497540503660815
BU,Suttor,Manag_Unit_48,40.83837953090711,32.70211388679031,333.57127860007483,13.935586203045414,33.203930226098706,45.00918436950722,22.37159888684831
BU,Upper Burdekin,Manag_Unit_48,447.0850897821292,98.73249930392844,1091.4440977538632,97.72439472821327,1160.1865013996849,1102.1235914726158,787.1251558500314
CY,Endeavour River,Manag_Unit_48,49.70973078127869,8.041591649453645,270.3568498859605,16.493605897428708,89.99208713094016,353.3889577493166,126.9907330212038
CY,Jacky Jacky Creek,Manag_Unit_48,47.81567388876562,4.239978098794944,286.126305874113,16.7856297031804,11.914721119516043,193.2572840448327,70.7842329794796
CY,Jeannie River,Manag_Unit_48,33.28380567061123,4.729297635838116,200.15788342324632,12.548608720392577,52.25516727678507,205.49244091426758,109.08887275774818
CY,Lockhart River,Manag_Unit_48,39.771023603287944,3.443928895630672,229.12524702850638,13.880180846156488,22.353713851429294,84.70173031357679,28.569615833586198
CY,Normanby River,Manag_Unit_48,181.4128071397453,34.413365062786994,1300.8698756663214,76.79103353585573,123.47693677158418,325.1401425473472,122.26946983276227
CY,Olive-Pascoe,Manag_Unit_48,142.956208639259,7.725767674327285,522.663538683254,29.621333337075153,79.71465174600218,437.5065052849064,63.1868290277635
CY,Stewart River,Manag_Unit_48,33.83411031250815,2.7321938381469915,183.8184732122894,10.198389219377278,16.395397502901826,75.4472088762855,21.802467794956264
FI,Boyne,Manag_Unit_48,28.363546524798966,19.037162219840308,75.47857561925214,4.264017579736576,6.517213919882702,22.633583779300235,8.752122638553534
FI,Calliope,Manag_Unit_48,32.874168153569066,18.192719297622556,83.17447815254626,3.9165942177691324,35.95496353722569,113.72365745107649,50.28844599541588
FI,Comet,Manag_Unit_48,74.6244188305234,64.90220398312249,167.13076327202484,15.489532336033061,168.08370723034736,262.84399605508446,186.07934141931133
FI,Dawson,Manag_Unit_48,165.39285783530252,204.98615183579253,439.43053777428685,50.35166710099094,450.66166711683246,924.6490850490214,529.1858075162187
FI,Fitzroy,Manag_Unit_48,113.25027163282998,107.08279689276334,200.22057788261898,23.287452737934437,204.08780270493605,433.36501855787304,262.0934522886091
FI,Isaac,Manag_Unit_48,215.22246595516364,112.34018120273383,643.0338583308003,24.668127561078112,224.3884801663257,399.96222598532916,215.55404838203285
FI,Mackenzie,Manag_Unit_48,51.63413874872577,32.383907064786065,146.86304446742702,7.251047077282792,199.35879838532261,277.76355646069334,171.0077206400218
FI,Nogoa,Manag_Unit_48,42.296675104917,30.723442110240814,121.10167419699934,6.784573027033014,39.70391674241872,78.5396632527653,36.39424363499473
FI,Shoalwater,Manag_Unit_48,17.034665709849953,11.191091186089785,67.02801635728363,2.340180706532571,44.39652265038348,119.80583154472004,38.22771023468505
FI,Styx,Manag_Unit_48,34.09578066651101,16.21341052388363,79.28336136194224,3.527915308320918,64.24012259913758,178.27817448885617,59.42037476058782
