Region,Basin,BasinScale,DIN,DIP,DON,DOP,FS,PN,PP
BM,Baffle,Manag_Unit_48,65.28075571234686,21.851371987178165,190.8727623634537,10.197306927349818,11.686690433779084,47.80410340480249,25.615906448598775
BM,Burnett,Manag_Unit_48,122.33336547988414,40.47760747830099,386.60089996263804,20.973148500585907,174.29426855012824,764.4037790249362,245.36532987684336
BM,Burrum,Manag_Unit_48,35.83268084097391,8.918593662134755,99.42044908720283,5.212026314331833,8.589130626901202,28.65355391747047,8.265710452476151
BM,Kolan,Manag_Unit_48,33.26615320430268,11.267525197953322,103.47137026707257,5.25817842571155,18.771887289827585,98.41412928212081,31.846855906312282
BM,Mary,Manag_Unit_48,191.78303673138413,24.684031402423905,561.897002137677,28.28874109386576,86.81821873484182,220.4336682164264,84.23829854490583
BU,Belyando,Manag_Unit_48,29.88529687166398,29.83918686092488,262.54609409000165,11.936401778271884,14.856393884629579,16.004902207588795,12.767529043360211
BU,Black,Manag_Unit_48,34.69297029526444,20.43991673806979,163.5521099822884,7.115199566738989,12.007352159636962,34.52210063219036,10.708679124221431
BU,Bowen Bogie,Manag_Unit_48,266.27078976690206,71.09480647601173,427.0308597386147,26.682150985389523,208.2101563900938,267.05960114743726,198.20589955419075
BU,Burdekin Delta,Manag_Unit_48,8.136611687765187,2.8543207579968857,20.324841502644723,1.071647492635566,8.28720493620771,17.085471088407644,15.890910216827256
BU,Cape Campaspe,Manag_Unit_48,35.63596805250055,14.366900101934691,235.75713847150556,14.166803712723357,19.203897770840094,39.53463536260741,14.879426842326362
BU,Don River,Manag_Unit_48,62.37102429917483,31.257485799298944,154.1826998441287,12.77721359058974,23.70297742996528,54.39023954816053,35.34063700697813
BU,East Burdekin,Manag_Unit_48,33.50878808464457,10.093317578942218,80.77184585962958,3.391559962013305,32.79273797301872,29.00532881172808,29.52328871051281
BU,Haughton,Manag_Unit_48,81.83729937105218,24.845343698101175,198.72606566546483,8.477883823890764,21.511240769256,116.20238562654696,36.19317788616359
BU,Ross,Manag_Unit_48,33.200515567813675,18.681522071091496,149.03271314400413,6.8660475100631135,28.089993980539308,90.81739884556494,28.605463681913967
BU,Suttor,Manag_Unit_48,37.799221732898715,29.881299630398807,372.90810270143726,8.482561212025615,13.177561592881252,15.50995876981535,9.361126382956462
BU,Upper Burdekin,Manag_Unit_48,488.4233267034873,98.02040526947357,1173.6360498246222,97.72621595456006,601.059436588701,1105.0711607760838,592.7481811041582
CY,Endeavour River,Manag_Unit_48,36.319571694515155,4.76608389480913,208.73435043194416,14.356433026839298,56.11396946182158,265.5375202041309,101.44152354466577
CY,Jacky Jacky Creek,Manag_Unit_48,45.49248764461094,3.840841189901156,258.34357061503874,15.662168076706065,10.670181825516728,174.9618096369079,68.047795168248
CY,Jeannie River,Manag_Unit_48,31.52176662901202,4.101866326807882,177.00629292682578,11.652169948151863,34.6231075615432,173.77334010305114,98.65770844059976
CY,Lockhart River,Manag_Unit_48,39.08743697651482,3.320710769507736,223.45620061395098,13.66338920681995,19.452833917369617,82.99080271346482,28.04924742403985
CY,Normanby River,Manag_Unit_48,162.44325581075347,24.307706857275992,879.4389048692819,65.32094487856654,90.21752229042752,452.2482153725378,175.31692406892086
CY,Olive-Pascoe,Manag_Unit_48,121.21486333071559,6.506779546079529,437.41075833501975,26.221084232412853,69.86509747241827,413.6275136106611,57.94661075937154
CY,Stewart River,Manag_Unit_48,33.51822157266374,2.6751283024127046,179.2019491446492,9.99217223779516,13.38629472670179,72.90521480671406,20.985516547604462
FI,Boyne,Manag_Unit_48,29.302845425605184,16.144867642401284,96.97185447832157,3.247441411265977,13.075720003114911,59.091809299888496,27.683445554311437
FI,Calliope,Manag_Unit_48,24.538457616879295,13.507564269878038,80.67983564972995,2.7089436862198983,10.089861772729853,49.201747566214756,21.380880941033148
FI,Comet,Manag_Unit_48,53.80352315891905,30.00309469020434,178.80897851269947,6.030429103400479,58.33448851953059,161.6538216126129,136.745443171537
FI,Dawson,Manag_Unit_48,143.48883459872647,76.39132864242885,459.82797386673394,15.300852378774852,118.91071432682158,548.9818077332837,334.8488561482864
FI,Fitzroy,Manag_Unit_48,54.52395199058426,30.075590134087065,178.5103644011501,6.019670527653326,61.20215678104793,194.1216077841326,100.49500371195833
FI,Isaac,Manag_Unit_48,195.9340938873859,106.36632971088865,637.7260849384768,21.299396336076196,71.02325950214325,363.17505239599245,220.36507026281438
FI,Mackenzie,Manag_Unit_48,44.093148179378446,24.231886427583458,144.198258849619,4.848144380712078,76.76741943683707,145.39416030929715,96.99243459246134
FI,Nogoa,Manag_Unit_48,59.00131135849372,32.686371043697356,197.74557979214032,6.59504405529789,80.40489211047529,350.3131939784429,188.7523481897621
FI,Shoalwater,Manag_Unit_48,16.870169624127577,11.166352599614388,66.91041275813663,2.322098536420069,20.540125266476906,83.06254945622734,26.743412991081318
FI,Styx,Manag_Unit_48,22.9976260427741,12.751542575856593,76.68999354962615,2.56608048599844,13.476232422839416,67.40358706670366,21.3694072780662
FI,Theresa,Manag_Unit_48,24.024165722335965,13.19485868931012,78.47348334301357,2.640662707724233,19.427462312328277,58.17264730103743,26.720924592216527
FI,Waterpark,Manag_Unit_48,29.123781699815645,17.16101358884958,106.55789302712614,3.584574058877255,8.151374931247648,54.9738190492946,12.854583224692197
MW,OConnel,Manag_Unit_48,89.27727629242948,21.44531207403843,457.6385690248462,13.283564432186708,41.02311844941153,151.54091595222573,42.739607543826644
MW,Pioneer,Manag_Unit_48,46.704041040656676,10.951227906414655,136.74591612469987,9.296333582130515,33.35826910373504,120.25702113451966,48.34399232077414
MW,PlaneC,Manag_Unit_48,85.42472742573018,26.46577385476211,408.73051776062346,12.980792062404515,18.715854542139574,120.2631538520972,26.326946284705127
MW,Prossie,Manag_Unit_48,81.38246133938908,19.48388121600791,205.20789754098243,12.303246011248255,14.642699671591743,81.05302449049965,22.164822390428373
WT,Barron,Manag_Unit_48,43.10481419644135,5.441596005296568,208.96537911600834,7.9675104539968995,111.78905382056436,336.2994452990904,79.57288279110622
WT,Daintree,Manag_Unit_48,324.690444992843,10.18232527238976,475.9486109235752,37.56351328272458,75.5907823563084,774.5989686601972,140.25039436904044
WT,Johnstone,Manag_Unit_48,239.79761110909433,18.385291466309283,251.33468140791118,38.17080818733937,119.77240576034283,689.1112764940644,167.53594268510358
WT,Lower Herbert,Manag_Unit_48,137.88445177701058,12.851527621702278,403.5379582224686,37.07437693795029,65.68541222150937,273.8828346924991,37.36931246193514
WT,Mossman,Manag_Unit_48,29.895126123653217,3.06268600596685,57.88031127141525,5.137560889484528,10.64136663412337,35.784143988109406,7.5678715332397015
WT,Mulgrave-Russell,Manag_Unit_48,205.30897135385075,13.047839759778874,365.4891428856814,30.626063958487965,45.37195591174209,336.2958689781991,58.91581813278199
WT,Murray,Manag_Unit_48,108.78382940206154,3.487355164582452,129.08626171151468,10.878382940206162,19.250536753074,86.59383276302826,11.409332939469882
WT,Tully,Manag_Unit_48,259.5936976706258,7.337504149301598,307.3149271510403,31.967535817687136,55.804014728704345,290.20124734820064,52.273103222601804
WT,Upper Herbert,Manag_Unit_48,85.04628270660588,7.6650541273438915,250.23461060733058,29.017309875744115,135.3453002090345,354.8015849576339,88.91833976295622
