Region,Basin,BasinScale,Constituent,Anthropogenic,Units
FI,Calliope,Manag_Unit_48,DIP,0.00015617221734783856,t/yr
FI,Comet,Manag_Unit_48,DIP,0.001278138427651013,t/yr
FI,Dawson,Manag_Unit_48,DIP,0.004734083607119656,t/yr
FI,Fitzroy,Manag_Unit_48,DIP,0.002579066849857267,t/yr
FI,Isaac,Manag_Unit_48,DIP,0.0004175255683788933,t/yr
FI,Mackenzie,Manag_Unit_48,DIP,0.00030097181356177706,t/yr
FI,Nogoa,Manag_Unit_48,DIP,0.0004587153774429576,t/yr
FI,Shoalwater,Manag_Unit_48,DIP,8.269199628256748e-07,t/yr
FI,Styx,Manag_Unit_48,DIP,0.00011540527652877752,t/yr
FI,Theresa,Manag_Unit_48,DIP,0.0002857258045759687,t/yr
FI,Water Park,Manag_Unit_48,DIP,0.0001704175297450848,t/yr
MW,O-Connell,Manag_Unit_48,DIP,0.0004213174607761771,t/yr
MW,Pioneer,Manag_Unit_48,DIP,0.0008666904844096906,t/yr
MW,Plane,Manag_Unit_48,DIP,0.0036121160292979936,t/yr
MW,Proserpine,Manag_Unit_48,DIP,0.0007169689582800814,t/yr
WT,Barron,Manag_Unit_48,DIP,0.0002823493748531584,t/yr
WT,Daintree,Manag_Unit_48,DIP,0.00018787716637980604,t/yr
WT,Johnstone,Manag_Unit_48,DIP,0.0019866891498045757,t/yr
WT,Lower Herbert,Manag_Unit_48,DIP,0.0011211548653613048,t/yr
WT,Mossman,Manag_Unit_48,DIP,0.00011053420763793691,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,DIP,0.0007182257532597904,t/yr
WT,Murray,Manag_Unit_48,DIP,0.0008532318802750617,t/yr
WT,Tully,Manag_Unit_48,DIP,0.0005790317656157246,t/yr
WT,Upper Herbert,Manag_Unit_48,DIP,0.00038054166317088786,t/yr
BM,Baffle,Manag_Unit_48,DON,0.005375832968411907,t/yr
BM,Burnett,Manag_Unit_48,DON,0.0060860760105399415,t/yr
BM,Burrum,Manag_Unit_48,DON,0.0022917224391698302,t/yr
BM,Kolan,Manag_Unit_48,DON,0.0028083118084228508,t/yr
BM,Mary,Manag_Unit_48,DON,0.012893387652189775,t/yr
BU,Belyando,Manag_Unit_48,DON,-2.838514056046885e-06,t/yr
BU,Black,Manag_Unit_48,DON,0.0005310034313817282,t/yr
