Region,Basin,BasinScale,Constituent,Anthropogenic,Units
MW,Plane,Basin_35,DON,0.007354488303996402,t/yr
MW,Proserpine,Basin_35,DON,0.0032970618360227823,t/yr
WT,Barron,Basin_35,DON,0.0037114860153751057,t/yr
WT,Daintree,Basin_35,DON,0.0029279933196578634,t/yr
WT,Herbert,Basin_35,DON,0.01220034598909455,t/yr
WT,Johnstone,Basin_35,DON,0.012019691132720717,t/yr
WT,Mossman,Basin_35,DON,0.0009706195808025531,t/yr
WT,Mulgrave-Russell,Basin_35,DON,0.005438702680916265,t/yr
WT,Murray,Basin_35,DON,0.0023242070473012944,t/yr
WT,Tully,Basin_35,DON,0.004904138619023242,t/yr
BM,Baffle,Basin_35,DOP,0.0001213914571178094,t/yr
BM,Burnett,Basin_35,DOP,0.00028960113168764414,t/yr
BM,Burrum,Basin_35,DOP,8.39788387498911e-05,t/yr
BM,Kolan,Basin_35,DOP,0.00010567890327823059,t/yr
BM,Mary,Basin_35,DOP,0.0002941100324242169,t/yr
BU,Black,Basin_35,DOP,3.105725361753079e-05,t/yr
BU,Burdekin,Basin_35,DOP,0.0009985719955786076,t/yr
BU,Don,Basin_35,DOP,0.0002144556507684241,t/yr
BU,Haughton,Basin_35,DOP,0.0003536191669145277,t/yr
BU,Ross,Basin_35,DOP,6.131902152619896e-05,t/yr
CY,Endeavour,Basin_35,DOP,7.12591652756443e-05,t/yr
CY,Jacky Jacky,Basin_35,DOP,3.746324817658309e-05,t/yr
CY,Jeannie,Basin_35,DOP,2.988612735709282e-05,t/yr
CY,Lockhart,Basin_35,DOP,7.244883492900082e-06,t/yr
CY,Normanby,Basin_35,DOP,0.00038242517186059643,t/yr
CY,Olive Pascoe,Basin_35,DOP,0.00011341311181894665,t/yr
CY,Stewart,Basin_35,DOP,6.874951626922805e-06,t/yr
FI,Boyne,Basin_35,DOP,9.061361889334997e-05,t/yr
FI,Calliope,Basin_35,DOP,4.02551109876372e-05,t/yr
FI,Fitzroy,Basin_35,DOP,0.002907393060124564,t/yr
FI,Shoalwater,Basin_35,DOP,6.034421314291846e-07,t/yr
FI,Styx,Basin_35,DOP,3.206326845338638e-05,t/yr
FI,Water Park,Basin_35,DOP,6.180911163565449e-05,t/yr
MW,O-Connell,Basin_35,DOP,4.049570106242726e-05,t/yr
MW,Pioneer,Basin_35,DOP,0.00014078254501791429,t/yr
MW,Plane,Basin_35,DOP,0.0007877657861545747,t/yr
MW,Proserpine,Basin_35,DOP,0.0001271391442664625,t/yr
WT,Barron,Basin_35,DOP,0.0002617798093892388,t/yr
WT,Daintree,Basin_35,DOP,3.410810187012506e-05,t/yr
WT,Herbert,Basin_35,DOP,0.00030923897869791593,t/yr
WT,Johnstone,Basin_35,DOP,0.001452057003096512,t/yr
WT,Mossman,Basin_35,DOP,1.5122798710615074e-05,t/yr
WT,Mulgrave-Russell,Basin_35,DOP,0.000684576889904873,t/yr
WT,Murray,Basin_35,DOP,0.00020079194791588706,t/yr
WT,Tully,Basin_35,DOP,0.0009945262977850411,t/yr
BM,Baffle,Basin_35,FS,7.546921034659789e-07,kt/yr
BM,Burnett,Basin_35,FS,2.8788300886003673e-05,kt/yr
BM,Burrum,Basin_35,FS,3.178995927363706e-07,kt/yr
BM,Kolan,Basin_35,FS,1.4651934216833647e-06,kt/yr
BM,Mary,Basin_35,FS,1.1982778821401757e-05,kt/yr
BU,Black,Basin_35,FS,8.567921994307092e-07,kt/yr
