Region,Basin,BasinScale,Constituent,PercentReduction,Units
CY,Stewart,Basin_35,DOP,0.0,%
FI,Boyne,Basin_35,DOP,0.0,%
FI,Calliope,Basin_35,DOP,0.0,%
FI,Fitzroy,Basin_35,DOP,5.477199059448182,%
FI,Shoalwater,Basin_35,DOP,0.0,%
FI,Styx,Basin_35,DOP,0.0,%
FI,Water Park,Basin_35,DOP,0.0,%
MW,O-Connell,Basin_35,DOP,0.0,%
MW,Pioneer,Basin_35,DOP,0.0,%
MW,Plane,Basin_35,DOP,0.0,%
MW,Proserpine,Basin_35,DOP,0.0,%
WT,Barron,Basin_35,DOP,0.0,%
WT,Daintree,Basin_35,DOP,0.0,%
WT,Herbert,Basin_35,DOP,0.0,%
WT,Johnstone,Basin_35,DOP,0.4443256504968904,%
WT,Mossman,Basin_35,DOP,0.0,%
WT,Mulgrave-Russell,Basin_35,DOP,0.0,%
WT,Murray,Basin_35,DOP,0.0,%
WT,Tully,Basin_35,DOP,0.02385946312798176,%
BM,Baffle,Basin_35,FS,0.05026205513656175,%
BM,Burnett,Basin_35,FS,0.15461022566219368,%
BM,Burrum,Basin_35,FS,0.6968548817859496,%
BM,Kolan,Basin_35,FS,0.20169648566801945,%
BM,Mary,Basin_35,FS,6.879812608801508,%
BU,Black,Basin_35,FS,0.001613548647182345,%
BU,Burdekin,Basin_35,FS,0.9419068005515933,%
BU,Don,Basin_35,FS,0.826153411843308,%
BU,Haughton,Basin_35,FS,2.1798503625618215,%
BU,Ross,Basin_35,FS,0.42872412059047393,%
CY,Endeavour,Basin_35,FS,1.4931472252192175,%
CY,Jacky Jacky,Basin_35,FS,0.0,%
CY,Jeannie,Basin_35,FS,0.0,%
CY,Lockhart,Basin_35,FS,0.0,%
CY,Normanby,Basin_35,FS,0.0514200490995351,%
CY,Olive Pascoe,Basin_35,FS,0.0,%
CY,Stewart,Basin_35,FS,0.0,%
FI,Boyne,Basin_35,FS,0.005418660731674772,%
FI,Calliope,Basin_35,FS,1.5297899256645955,%
FI,Fitzroy,Basin_35,FS,2.1672061117600774,%
FI,Shoalwater,Basin_35,FS,1.640534641397968e-08,%
FI,Styx,Basin_35,FS,0.028541741874664482,%
FI,Water Park,Basin_35,FS,0.008236582407088763,%
MW,O-Connell,Basin_35,FS,3.627223107656441,%
MW,Pioneer,Basin_35,FS,0.37778395527981673,%
MW,Plane,Basin_35,FS,0.26560165518228207,%
MW,Proserpine,Basin_35,FS,1.5724350747640792,%
WT,Barron,Basin_35,FS,0.0011533981105896578,%
WT,Daintree,Basin_35,FS,0.0,%
WT,Herbert,Basin_35,FS,1.397518761342757,%
WT,Johnstone,Basin_35,FS,0.07635993682077986,%
WT,Mossman,Basin_35,FS,0.0,%
WT,Mulgrave-Russell,Basin_35,FS,0.08662366253014343,%
WT,Murray,Basin_35,FS,0.39909624766667945,%
WT,Tully,Basin_35,FS,0.03568697924546954,%
BM,Baffle,Basin_35,PN,0.037354109723839186,%
BM,Burnett,Basin_35,PN,0.2838959361428129,%
BM,Burrum,Basin_35,PN,1.396193409194081,%
BM,Kolan,Basin_35,PN,0.5735782955709967,%
BM,Mary,Basin_35,PN,4.649879082135852,%
BU,Black,Basin_35,PN,0.01165062131309526,%
BU,Burdekin,Basin_35,PN,1.7719696582280533,%
BU,Don,Basin_35,PN,1.6061292539492615,%
BU,Haughton,Basin_35,PN,4.530673111810291,%
BU,Ross,Basin_35,PN,0.7349048108646256,%
CY,Endeavour,Basin_35,PN,0.4261138672184539,%
CY,Jacky Jacky,Basin_35,PN,0.0,%
CY,Jeannie,Basin_35,PN,0.0,%
CY,Lockhart,Basin_35,PN,0.0,%
CY,Normanby,Basin_35,PN,0.07285872171160508,%
CY,Olive Pascoe,Basin_35,PN,0.0,%
CY,Stewart,Basin_35,PN,0.0,%
FI,Boyne,Basin_35,PN,0.01180942945643004,%
FI,Calliope,Basin_35,PN,3.2210649816580776,%
