Scenario,Region,Basin,Constituent,BasinScale,Units,LoadToStream
BASE,CY,Lockhart,DIN,Basin_35,t/yr,39.77144342197023
BASE,CY,Lockhart,DIP,Basin_35,t/yr,3.444010215133932
BASE,CY,Lockhart,DON,Basin_35,t/yr,229.13069609732588
BASE,CY,Lockhart,DOP,Basin_35,t/yr,13.880735711606953
BASE,CY,Lockhart,FS,Basin_35,kt/yr,22.412951477666653
BASE,CY,Lockhart,PN,Basin_35,t/yr,84.90599618384907
BASE,CY,Lockhart,PP,Basin_35,t/yr,28.627419850581653
BASE,CY,Normanby,DIN,Basin_35,t/yr,181.41724836935188
BASE,CY,Normanby,DIP,Basin_35,t/yr,34.41427067042795
BASE,CY,Normanby,DON,Basin_35,t/yr,1300.9076974380334
BASE,CY,Normanby,DOP,Basin_35,t/yr,76.79370003438443
BASE,CY,Normanby,FS,Basin_35,kt/yr,318.112979892055
BASE,CY,Normanby,PN,Basin_35,t/yr,734.7897806188379
BASE,CY,Normanby,PP,Basin_35,t/yr,278.2876056634903
BASE,CY,Olive Pascoe,DIN,Basin_35,t/yr,142.96447696754728
BASE,CY,Olive Pascoe,DIP,Basin_35,t/yr,7.726245754617602
BASE,CY,Olive Pascoe,DON,Basin_35,t/yr,522.691314620568
BASE,CY,Olive Pascoe,DOP,Basin_35,t/yr,29.623477586981252
BASE,CY,Olive Pascoe,FS,Basin_35,kt/yr,86.4236454860073
BASE,CY,Olive Pascoe,PN,Basin_35,t/yr,465.6951490768551
BASE,CY,Olive Pascoe,PP,Basin_35,t/yr,66.97546952880508
BASE,CY,Stewart,DIN,Basin_35,t/yr,33.83413423250521
BASE,CY,Stewart,DIP,Basin_35,t/yr,2.732198421301453
BASE,CY,Stewart,DON,Basin_35,t/yr,183.81878339081214
BASE,CY,Stewart,DOP,Basin_35,t/yr,10.198420786602844
BASE,CY,Stewart,FS,Basin_35,kt/yr,16.48561577237798
BASE,CY,Stewart,PN,Basin_35,t/yr,75.79033081042498
BASE,CY,Stewart,PP,Basin_35,t/yr,21.911839996641667
BASE,FI,Boyne,DIN,Basin_35,t/yr,36.15387541143704
BASE,FI,Boyne,DIP,Basin_35,t/yr,26.30584033488657
BASE,FI,Boyne,DON,Basin_35,t/yr,99.9095119672595
BASE,FI,Boyne,DOP,Basin_35,t/yr,5.965849978066476
BASE,FI,Boyne,FS,Basin_35,kt/yr,43.755478970496846
BASE,FI,Boyne,PN,Basin_35,t/yr,165.76668692757164
BASE,FI,Boyne,PP,Basin_35,t/yr,72.95326912657121
BASE,FI,Calliope,DIN,Basin_35,t/yr,32.87419368120462
BASE,FI,Calliope,DIP,Basin_35,t/yr,18.19273250201854
BASE,FI,Calliope,DON,Basin_35,t/yr,83.17455028693335
BASE,FI,Calliope,DOP,Basin_35,t/yr,3.9165970158490144
BASE,FI,Calliope,FS,Basin_35,kt/yr,50.06497299564134
BASE,FI,Calliope,PN,Basin_35,t/yr,143.60308511658016
BASE,FI,Calliope,PP,Basin_35,t/yr,65.16420763228858
BASE,FI,Fitzroy,DIN,Basin_35,t/yr,751.3898244723157
BASE,FI,Fitzroy,DIP,Basin_35,t/yr,645.9345034087473
BASE,FI,Fitzroy,DON,Basin_35,t/yr,1949.450897986011
BASE,FI,Fitzroy,DOP,Basin_35,t/yr,149.95599129337597
BASE,FI,Fitzroy,FS,Basin_35,kt/yr,2773.95206278303
BASE,FI,Fitzroy,PN,Basin_35,t/yr,4805.824241742343
BASE,FI,Fitzroy,PP,Basin_35,t/yr,2830.701317450845
BASE,FI,Shoalwater,DIN,Basin_35,t/yr,17.034805408915453
BASE,FI,Shoalwater,DIP,Basin_35,t/yr,11.191161494610318
BASE,FI,Shoalwater,DON,Basin_35,t/yr,67.02890704501033
BASE,FI,Shoalwater,DOP,Basin_35,t/yr,2.3402018003629443
BASE,FI,Shoalwater,FS,Basin_35,kt/yr,44.398394800039206
BASE,FI,Shoalwater,PN,Basin_35,t/yr,119.81031116967223
BASE,FI,Shoalwater,PP,Basin_35,t/yr,38.229552685989596
BASE,FI,Styx,DIN,Basin_35,t/yr,34.096341586236875
BASE,FI,Styx,DIP,Basin_35,t/yr,16.213703653756067
BASE,FI,Styx,DON,Basin_35,t/yr,79.28521250226112
BASE,FI,Styx,DOP,Basin_35,t/yr,3.5279785396000314
BASE,FI,Styx,FS,Basin_35,kt/yr,64.40211227026195
BASE,FI,Styx,PN,Basin_35,t/yr,178.9516056640539
BASE,FI,Styx,PP,Basin_35,t/yr,59.62276036951762
BASE,FI,Water Park,DIN,Basin_35,t/yr,49.65494381436434
BASE,FI,Water Park,DIP,Basin_35,t/yr,22.274074280634533
BASE,FI,Water Park,DON,Basin_35,t/yr,114.33721870587812
BASE,FI,Water Park,DOP,Basin_35,t/yr,5.43884740794689
BASE,FI,Water Park,FS,Basin_35,kt/yr,12.106417799415954
BASE,FI,Water Park,PN,Basin_35,t/yr,65.0716853610427
BASE,FI,Water Park,PP,Basin_35,t/yr,16.247315873408965
BASE,MW,O-Connell,DIN,Basin_35,t/yr,165.7786638634991
BASE,MW,O-Connell,DIP,Basin_35,t/yr,34.09276835946736
BASE,MW,O-Connell,DON,Basin_35,t/yr,580.456784953177
BASE,MW,O-Connell,DOP,Basin_35,t/yr,14.498435464059526
BASE,MW,O-Connell,FS,Basin_35,kt/yr,237.53286327408023
BASE,MW,O-Connell,PN,Basin_35,t/yr,773.1742738379091
BASE,MW,O-Connell,PP,Basin_35,t/yr,201.53570217768007
BASE,MW,Pioneer,DIN,Basin_35,t/yr,215.691857746295
BASE,MW,Pioneer,DIP,Basin_35,t/yr,37.40615768813809
BASE,MW,Pioneer,DON,Basin_35,t/yr,262.64286753910994
BASE,MW,Pioneer,DOP,Basin_35,t/yr,13.519809932667943
BASE,MW,Pioneer,FS,Basin_35,kt/yr,112.72044248416987
BASE,MW,Pioneer,PN,Basin_35,t/yr,428.22261092801216
BASE,MW,Pioneer,PP,Basin_35,t/yr,116.27700859051366
BASE,MW,Plane,DIN,Basin_35,t/yr,229.47447628167546
BASE,MW,Plane,DIP,Basin_35,t/yr,134.83019126448474
BASE,MW,Plane,DON,Basin_35,t/yr,629.3651668805155
BASE,MW,Plane,DOP,Basin_35,t/yr,36.61376564704175
BASE,MW,Plane,FS,Basin_35,kt/yr,85.92506918766456
BASE,MW,Plane,PN,Basin_35,t/yr,616.6682092558374
BASE,MW,Plane,PP,Basin_35,t/yr,105.89132692085593
BASE,MW,Proserpine,DIN,Basin_35,t/yr,183.5706887070299
BASE,MW,Proserpine,DIP,Basin_35,t/yr,41.02601949284334
BASE,MW,Proserpine,DON,Basin_35,t/yr,304.1197526216659
BASE,MW,Proserpine,DOP,Basin_35,t/yr,16.11742033924213
BASE,MW,Proserpine,FS,Basin_35,kt/yr,48.17005148861517
BASE,MW,Proserpine,PN,Basin_35,t/yr,164.71557599501057
BASE,MW,Proserpine,PP,Basin_35,t/yr,48.336443368127895
BASE,WT,Barron,DIN,Basin_35,t/yr,140.9158041019897
BASE,WT,Barron,DIP,Basin_35,t/yr,15.296225967270834
BASE,WT,Barron,DON,Basin_35,t/yr,320.3099595772615
BASE,WT,Barron,DOP,Basin_35,t/yr,15.820904735674063
BASE,WT,Barron,FS,Basin_35,kt/yr,218.76007532241792
BASE,WT,Barron,PN,Basin_35,t/yr,708.7895359433934
BASE,WT,Barron,PP,Basin_35,t/yr,241.91812693355143
BASE,WT,Daintree,DIN,Basin_35,t/yr,388.103287567667
BASE,WT,Daintree,DIP,Basin_35,t/yr,15.818760937882965
BASE,WT,Daintree,DON,Basin_35,t/yr,563.7884105133111
BASE,WT,Daintree,DOP,Basin_35,t/yr,38.58675633882833
BASE,WT,Daintree,FS,Basin_35,kt/yr,123.406671875761
BASE,WT,Daintree,PN,Basin_35,t/yr,1059.819096551986
BASE,WT,Daintree,PP,Basin_35,t/yr,192.34802972171792
BASE,WT,Herbert,DIN,Basin_35,t/yr,1166.4882696403074
BASE,WT,Herbert,DIP,Basin_35,t/yr,65.72103831021948
BASE,WT,Herbert,DON,Basin_35,t/yr,1019.7829485026358
BASE,WT,Herbert,DOP,Basin_35,t/yr,75.36885617463189
BASE,WT,Herbert,FS,Basin_35,kt/yr,395.81028298092497
BASE,WT,Herbert,PN,Basin_35,t/yr,1274.4258405898643
BASE,WT,Herbert,PP,Basin_35,t/yr,309.9894347602495
BASE,WT,Johnstone,DIN,Basin_35,t/yr,960.9529724451168
BASE,WT,Johnstone,DIP,Basin_35,t/yr,78.28355518197463
BASE,WT,Johnstone,DON,Basin_35,t/yr,611.9254153895326
BASE,WT,Johnstone,DOP,Basin_35,t/yr,81.73251828023473
BASE,WT,Johnstone,FS,Basin_35,kt/yr,362.2992070744354
BASE,WT,Johnstone,PN,Basin_35,t/yr,1861.428096561972
BASE,WT,Johnstone,PP,Basin_35,t/yr,673.7702675808102
BASE,WT,Mossman,DIN,Basin_35,t/yr,75.22007676052498
BASE,WT,Mossman,DIP,Basin_35,t/yr,6.469062828342405
BASE,WT,Mossman,DON,Basin_35,t/yr,86.99889869549185
BASE,WT,Mossman,DOP,Basin_35,t/yr,5.591244850802981
BASE,WT,Mossman,FS,Basin_35,kt/yr,16.82664065814076
BASE,WT,Mossman,PN,Basin_35,t/yr,60.79604072915906
BASE,WT,Mossman,PP,Basin_35,t/yr,19.071419625917827
BASE,WT,Mulgrave-Russell,DIN,Basin_35,t/yr,606.8211925261108
BASE,WT,Mulgrave-Russell,DIP,Basin_35,t/yr,34.638418398202326
BASE,WT,Mulgrave-Russell,DON,Basin_35,t/yr,528.6502233131694
BASE,WT,Mulgrave-Russell,DOP,Basin_35,t/yr,51.163370655634154
BASE,WT,Mulgrave-Russell,FS,Basin_35,kt/yr,98.37661965681346
BASE,WT,Mulgrave-Russell,PN,Basin_35,t/yr,592.6062067426404
BASE,WT,Mulgrave-Russell,PP,Basin_35,t/yr,139.13149112589377
BASE,WT,Murray,DIN,Basin_35,t/yr,336.5241614411991
BASE,WT,Murray,DIP,Basin_35,t/yr,29.15309164731043
BASE,WT,Murray,DON,Basin_35,t/yr,198.8124731305535
BASE,WT,Murray,DOP,Basin_35,t/yr,16.902141377682774
BASE,WT,Murray,FS,Basin_35,kt/yr,34.470188304241304
BASE,WT,Murray,PN,Basin_35,t/yr,161.35672789002953
BASE,WT,Murray,PP,Basin_35,t/yr,29.263445695899843
BASE,WT,Tully,DIN,Basin_35,t/yr,733.817551958426
BASE,WT,Tully,DIP,Basin_35,t/yr,24.76046294193737
BASE,WT,Tully,DON,Basin_35,t/yr,454.43908572173757
BASE,WT,Tully,DOP,Basin_35,t/yr,61.80332475123837
BASE,WT,Tully,FS,Basin_35,kt/yr,107.88271477575204
BASE,WT,Tully,PN,Basin_35,t/yr,470.5011768897851
BASE,WT,Tully,PP,Basin_35,t/yr,116.59242394292674
CHANGE,BM,Baffle,DIN,Basin_35,t/yr,91.79724876430902
CHANGE,BM,Baffle,DIP,Basin_35,t/yr,23.706782124852918
CHANGE,BM,Baffle,DON,Basin_35,t/yr,353.4329385844825
CHANGE,BM,Baffle,DOP,Basin_35,t/yr,13.839050641317273
CHANGE,BM,Baffle,FS,Basin_35,kt/yr,34.31607382492379
CHANGE,BM,Baffle,PN,Basin_35,t/yr,125.69886218407622
CHANGE,BM,Baffle,PP,Basin_35,t/yr,66.9003849524244
CHANGE,BM,Burnett,DIN,Basin_35,t/yr,271.2067895890246
CHANGE,BM,Burnett,DIP,Basin_35,t/yr,59.1663307499653
CHANGE,BM,Burnett,DON,Basin_35,t/yr,625.8189550468982
CHANGE,BM,Burnett,DOP,Basin_35,t/yr,29.661182451531012
CHANGE,BM,Burnett,FS,Basin_35,kt/yr,1036.6080054213135
CHANGE,BM,Burnett,PN,Basin_35,t/yr,3241.266292321582
CHANGE,BM,Burnett,PP,Basin_35,t/yr,984.194883715012
CHANGE,BM,Burrum,DIN,Basin_35,t/yr,81.6385476313813
CHANGE,BM,Burrum,DIP,Basin_35,t/yr,15.470850987264777
CHANGE,BM,Burrum,DON,Basin_35,t/yr,171.35156630755097
CHANGE,BM,Burrum,DOP,Basin_35,t/yr,7.7313914767575564
CHANGE,BM,Burrum,FS,Basin_35,kt/yr,18.059659444057488
CHANGE,BM,Burrum,PN,Basin_35,t/yr,60.78498941868877
CHANGE,BM,Burrum,PP,Basin_35,t/yr,20.322908973272945
CHANGE,BM,Kolan,DIN,Basin_35,t/yr,97.36493917806172
CHANGE,BM,Kolan,DIP,Basin_35,t/yr,14.947663408284543
CHANGE,BM,Kolan,DON,Basin_35,t/yr,199.83636981176022
CHANGE,BM,Kolan,DOP,Basin_35,t/yr,8.428545524102537
CHANGE,BM,Kolan,FS,Basin_35,kt/yr,62.639032631135294
CHANGE,BM,Kolan,PN,Basin_35,t/yr,294.2133187400191
CHANGE,BM,Kolan,PP,Basin_35,t/yr,94.97897104155618
CHANGE,BM,Mary,DIN,Basin_35,t/yr,402.05917796456396
CHANGE,BM,Mary,DIP,Basin_35,t/yr,48.200730912057516
CHANGE,BM,Mary,DON,Basin_35,t/yr,959.540761539739
CHANGE,BM,Mary,DOP,Basin_35,t/yr,37.11204206655751
CHANGE,BM,Mary,FS,Basin_35,kt/yr,421.5698015297067
CHANGE,BM,Mary,PN,Basin_35,t/yr,1040.9357782053908
CHANGE,BM,Mary,PP,Basin_35,t/yr,400.02914883965906
CHANGE,BU,Black,DIN,Basin_35,t/yr,57.511748301811096
CHANGE,BU,Black,DIP,Basin_35,t/yr,22.646398124729675
CHANGE,BU,Black,DON,Basin_35,t/yr,179.48231454071305
CHANGE,BU,Black,DOP,Basin_35,t/yr,8.046917175264912
CHANGE,BU,Black,FS,Basin_35,kt/yr,37.71070339978995
CHANGE,BU,Black,PN,Basin_35,t/yr,69.08189031646572
CHANGE,BU,Black,PP,Basin_35,t/yr,26.668598579304344
CHANGE,BU,Burdekin,DIN,Basin_35,t/yr,1311.6865474079789
CHANGE,BU,Burdekin,DIP,Basin_35,t/yr,308.78809248461386
CHANGE,BU,Burdekin,DON,Basin_35,t/yr,2629.501869020107
CHANGE,BU,Burdekin,DOP,Basin_35,t/yr,193.4271107825415
CHANGE,BU,Burdekin,FS,Basin_35,kt/yr,5784.065252990091
CHANGE,BU,Burdekin,PN,Basin_35,t/yr,6523.0664681953685
CHANGE,BU,Burdekin,PP,Basin_35,t/yr,4431.565405076165
CHANGE,BU,Don,DIN,Basin_35,t/yr,101.9210875519515
CHANGE,BU,Don,DIP,Basin_35,t/yr,38.5312103214705
CHANGE,BU,Don,DON,Basin_35,t/yr,178.63173160802918
CHANGE,BU,Don,DOP,Basin_35,t/yr,19.210883113642463
CHANGE,BU,Don,FS,Basin_35,kt/yr,151.1172601925615
CHANGE,BU,Don,PN,Basin_35,t/yr,286.17508321537326
CHANGE,BU,Don,PP,Basin_35,t/yr,125.20857475688817
