Scenario,Region,Basin,FU,Constituent,LoadToStream,BasinScale,Units
PREDEV,CY,Jeannie,Conservation,DIP,3.614572811195175,Basin_35,t/yr
PREDEV,CY,Jeannie,Cropping,DIP,0.0008209435456210766,Basin_35,t/yr
PREDEV,CY,Jeannie,Dairy,DIP,0.0,Basin_35,t/yr
PREDEV,CY,Jeannie,Forestry,DIP,0.0354507603235414,Basin_35,t/yr
PREDEV,CY,Jeannie,Grazing,DIP,0.4423654551636437,Basin_35,t/yr
PREDEV,CY,Jeannie,Horticulture,DIP,0.0007038024973796266,Basin_35,t/yr
PREDEV,CY,Jeannie,Stream,DIP,0.0,Basin_35,t/yr
PREDEV,CY,Jeannie,Sugarcane,DIP,0.0,Basin_35,t/yr
PREDEV,CY,Jeannie,Urban + Other,DIP,0.00795255408252156,Basin_35,t/yr
PREDEV,CY,Jeannie,Bananas,DOP,0.0,Basin_35,t/yr
PREDEV,CY,Jeannie,Conservation,DOP,10.354957588344405,Basin_35,t/yr
PREDEV,CY,Jeannie,Cropping,DOP,0.0022001189380770566,Basin_35,t/yr
PREDEV,CY,Jeannie,Dairy,DOP,0.0,Basin_35,t/yr
PREDEV,CY,Jeannie,Forestry,DOP,0.09410674570939091,Basin_35,t/yr
PREDEV,CY,Jeannie,Grazing,DOP,1.1778805226554063,Basin_35,t/yr
PREDEV,CY,Jeannie,Horticulture,DOP,0.0018861823264662901,Basin_35,t/yr
PREDEV,CY,Jeannie,Stream,DOP,0.0,Basin_35,t/yr
PREDEV,CY,Jeannie,Sugarcane,DOP,0.0,Basin_35,t/yr
PREDEV,CY,Jeannie,Urban + Other,DOP,0.021138790178117355,Basin_35,t/yr
PREDEV,CY,Lockhart,Bananas,FS,0.0,Basin_35,kt/yr
PREDEV,CY,Lockhart,Conservation,FS,17.10356516651931,Basin_35,kt/yr
PREDEV,CY,Lockhart,Cropping,FS,0.0,Basin_35,kt/yr
PREDEV,CY,Lockhart,Dairy,FS,0.0,Basin_35,kt/yr
PREDEV,CY,Lockhart,Forestry,FS,0.0,Basin_35,kt/yr
PREDEV,CY,Lockhart,Grazing,FS,0.08783662674805542,Basin_35,kt/yr
PREDEV,CY,Lockhart,Horticulture,FS,0.0,Basin_35,kt/yr
PREDEV,CY,Lockhart,Stream,FS,2.240478578057002,Basin_35,kt/yr
PREDEV,CY,Lockhart,Sugarcane,FS,0.0,Basin_35,kt/yr
PREDEV,CY,Lockhart,Urban + Other,FS,0.020953546045247722,Basin_35,kt/yr
PREDEV,CY,Lockhart,Bananas,PN,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Conservation,PN,80.66353970597764,Basin_35,t/yr
PREDEV,CY,Lockhart,Cropping,PN,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Dairy,PN,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Forestry,PN,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Grazing,PN,0.5134827490920185,Basin_35,t/yr
PREDEV,CY,Lockhart,Horticulture,PN,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Stream,PN,1.8084439530375247,Basin_35,t/yr
PREDEV,CY,Lockhart,Sugarcane,PN,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Urban + Other,PN,0.0053363053576364165,Basin_35,t/yr
PREDEV,CY,Lockhart,Bananas,PP,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Conservation,PP,27.024227893506996,Basin_35,t/yr
PREDEV,CY,Lockhart,Cropping,PP,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Dairy,PP,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Forestry,PP,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Grazing,PP,0.11498709709489102,Basin_35,t/yr
PREDEV,CY,Lockhart,Horticulture,PP,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Stream,PP,0.9089579788831946,Basin_35,t/yr
PREDEV,CY,Lockhart,Sugarcane,PP,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Urban + Other,PP,0.001074454554769022,Basin_35,t/yr
PREDEV,CY,Lockhart,Bananas,DIN,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Conservation,DIN,38.30467466737619,Basin_35,t/yr
PREDEV,CY,Lockhart,Cropping,DIN,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Dairy,DIN,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Forestry,DIN,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Grazing,DIN,0.7429796672840803,Basin_35,t/yr
PREDEV,CY,Lockhart,Horticulture,DIN,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Stream,DIN,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Sugarcane,DIN,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Urban + Other,DIN,0.03978264185455314,Basin_35,t/yr
PREDEV,CY,Lockhart,Bananas,DON,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Conservation,DON,218.82312583945546,Basin_35,t/yr
PREDEV,CY,Lockhart,Cropping,DON,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Dairy,DON,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Forestry,DON,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Grazing,DON,4.412239246259154,Basin_35,t/yr
PREDEV,CY,Lockhart,Horticulture,DON,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Stream,DON,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Sugarcane,DON,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Urban + Other,DON,0.22083552823636907,Basin_35,t/yr
PREDEV,CY,Lockhart,Bananas,DIP,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Conservation,DIP,3.252013829255639,Basin_35,t/yr
PREDEV,CY,Lockhart,Cropping,DIP,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Dairy,DIP,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Forestry,DIP,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Grazing,DIP,0.06540876546073301,Basin_35,t/yr
PREDEV,CY,Lockhart,Horticulture,DIP,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Stream,DIP,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Sugarcane,DIP,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Urban + Other,DIP,0.0032881747913637532,Basin_35,t/yr
PREDEV,CY,Lockhart,Bananas,DOP,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Conservation,DOP,13.3678009588683,Basin_35,t/yr
PREDEV,CY,Lockhart,Cropping,DOP,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Dairy,DOP,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Forestry,DOP,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Grazing,DOP,0.28259782096528896,Basin_35,t/yr
PREDEV,CY,Lockhart,Horticulture,DOP,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Stream,DOP,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Sugarcane,DOP,0.0,Basin_35,t/yr
PREDEV,CY,Lockhart,Urban + Other,DOP,0.012990426986360954,Basin_35,t/yr
PREDEV,CY,Normanby,Bananas,FS,0.042181270348213507,Basin_35,kt/yr
PREDEV,CY,Normanby,Conservation,FS,50.778579222138276,Basin_35,kt/yr
PREDEV,CY,Normanby,Cropping,FS,0.1832162739634981,Basin_35,kt/yr
PREDEV,CY,Normanby,Dairy,FS,0.0,Basin_35,kt/yr
PREDEV,CY,Normanby,Forestry,FS,0.011768642497817929,Basin_35,kt/yr
PREDEV,CY,Normanby,Grazing,FS,17.275760454157748,Basin_35,kt/yr
PREDEV,CY,Normanby,Horticulture,FS,0.008415948400697199,Basin_35,kt/yr
PREDEV,CY,Normanby,Stream,FS,21.86569557547165,Basin_35,kt/yr
PREDEV,CY,Normanby,Sugarcane,FS,0.0,Basin_35,kt/yr
PREDEV,CY,Normanby,Urban + Other,FS,0.05190490344961529,Basin_35,kt/yr
PREDEV,CY,Normanby,Bananas,PN,0.0,Basin_35,t/yr
PREDEV,CY,Normanby,Conservation,PN,302.2235158902233,Basin_35,t/yr
PREDEV,CY,Normanby,Cropping,PN,0.07743516783698236,Basin_35,t/yr
PREDEV,CY,Normanby,Dairy,PN,0.0,Basin_35,t/yr
PREDEV,CY,Normanby,Forestry,PN,0.043671014454858895,Basin_35,t/yr
PREDEV,CY,Normanby,Grazing,PN,137.4299148115047,Basin_35,t/yr
PREDEV,CY,Normanby,Horticulture,PN,0.0034449813660320312,Basin_35,t/yr
PREDEV,CY,Normanby,Stream,PN,12.44496734380474,Basin_35,t/yr
