FS,PN,PP,DIN
7.0146654077558575,36.611292224644316,31.874245535477414,616.4881640459724
887.5967011442177,4685.537304651231,1180.2767659427093,1741.2282279960264
95.6168558310741,407.18623468201696,167.69406132573144,136.20512629524757
10.366216464605388,72.99690269753249,32.89454705854402,18.537635907866203
83.27339114293156,394.47575348252525,127.86159211804811,239.7120795808185
4365.486252933503,8635.23684049289,4157.682478710645,2354.9383608881017
42.75992011067672,75.62769334456536,38.74987823804567,174.61474434868794
1829.754150967294,2225.219505408603,1298.8936639312794,188.91715950795182
116.58472607893083,1129.3917713622643,263.03813225886756,3199.558357587086
67.35525243475313,67.6872887830863,23.747813293499078,437.1839967110171
