FS,PN,PP,DIN
6.690070355234227,38.43389883164476,32.66250550013394,655.7580926355784
228.8858224990421,167.72911762259264,86.07865665161603,-6.242609819390509
98.6664749187163,427.0440706100109,173.3040278121642,118.89091594152819
9.929130670095594,70.19737477176956,31.589589401633734,13.286324733117752
30.837464707700057,21.487952662755276,10.46300439924299,52.10882357288662
3943.3839299552396,7252.116241031305,3446.1534425145483,366.8971703233351
40.79942277071744,74.17858011015781,37.85708714637209,161.79333516791084
1239.9163670782236,1564.3323928485124,905.4706172220718,188.90081489041953
109.96724634520943,1139.1298383793269,253.9456170200028,3124.4849593392687
55.94106750239692,55.09409035867123,18.3339405091763,335.34448052973505
