FS,PN,PP,DIN
7.324460073688767,38.58358604712525,32.66250550013394,671.0366040129064
888.0547216259314,4686.547081714216,1181.1813760871482,1740.93011042808
99.80485895615267,429.8371724753187,174.7049981863196,136.15181600229036
10.351830824096572,72.95474696438471,32.87094984804134,18.538813867639103
83.57816576537267,396.2976917925974,129.73213755766193,239.6654308780441
4393.10020687869,8692.353378322548,4200.784441663612,2353.7785083126573
42.751043214074684,75.62317531289301,38.748406793623786,174.60763367835813
1897.8374469148725,2351.6053364308323,1356.5012854387276,188.90081489041953
119.34573888233182,1152.9440322368298,267.2955876953052,3333.155755264661
67.28758039551032,67.63575219109575,23.72517209180274,437.1871324313666
