FU,FS,PN,PP,DIN
Bananas,0.0,0.0,0.0,0.0
Conservation,12.6633279700433,68.9501485980964,26.208038404716138,55.60104458258536
Cropping,3.787712116529235,2.2138826599258667,1.1307461140615334,16.3761993891687
Dairy,1.7670320248280695,6.108291985213032,3.0634297638364334,2.364005760494466
Forestry,9.46429965000418,61.4698165175179,17.0523961917132,52.18160353688084
Grazing,189.16610343798942,942.529220089851,318.1933401289568,334.51156815629787
Horticulture,7.8706520329116865,3.718914641732867,1.6628641748090836,79.2533770290469
Stream,363.762472497054,433.2442303158679,205.37331645131482,23.527353656300004
Sugarcane,5.185693793159532,57.320135924264704,19.074820374176667,190.80515378987974
Urban + Other,13.00088518932869,5.441402259360568,2.3349978968849667,117.67575777532191
