FS,PN,PP,DIN
7.290956435002899,38.58358604712525,32.099485054339056,667.3843816003063
274.4043733562967,2354.5641656361504,364.32300130614266,988.0679670357937
20.181243788356937,55.80678594970276,29.344335044769878,15.322658384796963
8.584798799268503,66.84645497917168,29.807520084204906,16.17480810714464
17.923539544470337,90.54858986059617,14.67203493618926,62.940517759097084
239.5888448931888,1720.8556284391639,437.9266951067288,409.9027654767065
22.35009162384256,64.07635819086957,28.985689873372507,29.669907081168954
524.7585941812542,639.7929294319773,380.6995240602688,50.81750468173047
68.07207777984144,516.7289688967727,161.59486024027717,2007.324476379564
12.2383043965339,38.70891426571375,8.416135526720593,118.81476878361876
