FU,FS,PN,PP,DIN
Bananas,0.0,0.0,0.0,0.0
Conservation,13.58133413525257,180.3233519278101,48.79917303799344,57.513713552889136
Cropping,0.537751774026851,0.30956432797302286,0.06268074006844766,3.2671621767833305
Dairy,0.0,0.0,0.0,0.0
Forestry,2.8179013095777132,54.700963931705665,14.11765142516044,14.735897611629582
Grazing,44.53013449191906,608.6164408962231,120.52508189616768,193.86670367641935
Horticulture,1.1713611507508481,0.426906790482178,0.13858908458389316,7.086538039934509
Stream,331.82840143931554,479.1107827226236,197.74443249102706,18.972628988987267
Sugarcane,20.422224956931743,460.60013711607223,43.54655395512709,397.5758409633382
Urban + Other,13.918277896188291,0.0,0.0,84.39721203553435
