FU,FS,PN,PP,DIN
Bananas,0.0,0.0,0.0,0.0
Conservation,12.628546886898606,69.01183912684482,26.215596639604765,56.53292080494012
Cropping,0.3640658050043618,0.21981574637335963,0.17098199635620676,3.265553967943542
Dairy,0.14433522937229154,0.5391593643751218,0.2579455718618867,1.2880464864199506
Forestry,7.932312986801311,60.11976442346569,16.442087167991414,53.38321711676464
Grazing,27.316872573997426,168.58137404590826,65.88438227105782,251.99172444625086
Horticulture,1.1958716363938204,0.7044462919563297,0.32553743437690674,5.462271525481799
Stream,70.52291558689548,75.47310504683615,32.73059753804667,0.0
Sugarcane,0.3118368221541991,1.5273469270448983,1.106452124778941,7.572781813871339
Urban + Other,5.7808841936843836,3.0883911479004587,1.3023909836306489,31.849598916269535
