FS,PN,PP,DIN
0.0,0.0,0.0,0.0
12.702284913986118,69.06265343451231,26.255559532085346,55.611267256206354
3.795357677863397,2.216211996046479,1.1322952618566935,16.41601358429441
1.7813079765507942,6.149686343424633,3.0865501631775545,2.3642865343506045
9.484414376464938,61.54306387027966,17.085234295115903,52.20240594423016
189.5323529897644,944.1712888284587,318.9419190977054,334.6765408178508
7.8785558733986205,3.7226496188678206,1.6632129183414077,79.26499722140824
347.87338635375284,405.79989080466305,193.4227345213359,23.54414826224069
4.878633839550194,53.56912972350743,17.937162206266457,179.72909963403498
13.040962291076207,5.456874373072534,2.3410665644347373,117.67278444890947
