FS,PN,PP,DIN
6.981161847026221,36.611292224644316,31.31121221295215,612.8359416333723
274.4269147050242,2354.632490985983,364.3372965659106,988.0448628766145
20.182550674202233,55.80850515687077,29.346229134039522,15.317962393380267
8.584908488054593,66.84721635410784,29.807996895366465,16.1733493735156
17.92873816089195,90.56194380814918,14.674667726116354,62.936691002108454
239.62890218506985,1720.9449482151713,437.95371696646004,409.8929086437577
22.350270740779806,64.07650206920918,28.986522854520924,29.660661266434158
522.7908136857485,636.6798655059595,379.6640513503542,50.81661437100252
67.5252188971481,512.1213538323119,160.70420097027417,1966.547892485949
12.238527871495195,38.70922657595346,8.416357363573349,118.79540533859982
