ModelElement,Basin_35,Manag_Unit_48
Node on catchment SC #594,Mary,Mary
Node on catchment SC #518,Mary,Mary
Node on catchment SC #512,Mary,Mary
Node on catchment SC #585,Mary,Mary
Node on catchment SC #515,Mary,Mary
Node on catchment SC #510,Mary,Mary
Node on catchment SC #640,Mary,Mary
Node on catchment SC #286,Burnett,Burnett
Node on catchment SC #598,Burnett,Burnett
Node on catchment SC #218,Burnett,Burnett
136315A,Burnett,Burnett
Node on catchment SC #208,Burnett,Burnett
Node on catchment SC #209,Burnett,Burnett
Node on catchment SC #215,Burnett,Burnett
Node on catchment SC #214,Burnett,Burnett
Node on catchment SC #213,Burnett,Burnett
Node on catchment SC #70,Burnett,Burnett
Node on catchment SC #60,Kolan,Kolan
Node on catchment SC #495,Mary,Mary
Node on catchment SC #354,Burnett,Burnett
Node on catchment SC #219,Burnett,Burnett
Node on catchment SC #596,Mary,Mary
Node on catchment SC #418,Burnett,Burnett
Node on catchment SC #100,Burnett,Burnett
Node on catchment SC #337,Burnett,Burnett
Node on catchment SC #101,Burnett,Burnett
Node on catchment SC #176,Burnett,Burnett
Node on catchment SC #627,Burnett,Burnett
Node on catchment SC #622,Burnett,Burnett
Node on catchment SC #197,Burnett,Burnett
Node on catchment SC #617,Burnett,Burnett
Node on catchment SC #90,Burnett,Burnett
Node on catchment SC #189,Burnett,Burnett
Node on catchment SC #647,Burnett,Burnett
Node on catchmen SC #133,Burnett,Burnett
Node on catchment SC #192,Burnett,Burnett
Node on catchment SC #593,Burnett,Burnett
Node on catchment SC #195,Burnett,Burnett
Node on catchment SC #85,Burnett,Burnett
Node on catchment SC #129,Burnett,Burnett
Node on catchment SC #130,Burnett,Burnett
Node on catchment SC #131,Burnett,Burnett
Node on catchment SC #583,Burnett,Burnett
Node on catchment SC #135,Burnett,Burnett
Node on catchment SC #149,Burnett,Burnett
136203A,Burnett,Burnett
Node on catchment SC #15,Baffle,Baffle
Node on catchment SC #571,Burnett,Burnett
Node on catchment SC #363,Burnett,Burnett
Node on catchment SC #356,Burnett,Burnett
136306A,Burnett,Burnett
Node on catchment SC #207,Burnett,Burnett
136301B,Burnett,Burnett
136304A,Burnett,Burnett
136319A,Burnett,Burnett
136094A,Burnett,Burnett
136006A,Burnett,Burnett
136017B,Burnett,Burnett
Node on catchment SC #155,Burnett,Burnett
136209A,Burnett,Burnett
Node on catchment SC #396,Burnett,Burnett
Node on catchment SC #398,Burnett,Burnett
Node on catchment SC #384,Burnett,Burnett
Node on catchment SC #383,Burnett,Burnett
Node on catchment SC #623,Burnett,Burnett
Node on catchment SC #381,Burnett,Burnett
Node on catchment SC #326,Burnett,Burnett
Node on catchment SC #325,Burnett,Burnett
Node on catchment SC #329,Burnett,Burnett
Node on catchment SC #334,Burnett,Burnett
Node on catchment SC #333,Burnett,Burnett
Node on catchment SC #351,Burnett,Burnett
Node on catchment SC #577,Burnett,Burnett
Node on catchment SC #589,Burnett,Burnett
Node on catchment SC #355,Burnett,Burnett
Outlet Node34,Baffle,Baffle
Outlet Node35,Baffle,Baffle
Node on catchment SC #128,Burnett,Burnett
Node on catchment SC #578,Burnett,Burnett
Node on catchment SC #26,Baffle,Baffle
Burnett River Dam,Burnett,Burnett
Node on catchment SC #566,Kolan,Kolan
Borumba Dam,Mary,Mary
Baroon Pocket Dam,Mary,Mary
Mary River Barrage,Mary,Mary
Lenthalls Dam,Burrum,Burrum
Fred Haigh Dam,Kolan,Kolan
Boondooma Dam,Burnett,Burnett
Node on catchment SC #537,Mary,Mary
Bjelke-Petersen Dam,Burnett,Burnett
Node on catchment SC #644,Mary,Mary
138010A,Mary,Mary
Node on catchment SC #526,Mary,Mary
Node on catchment SC #486,Mary,Mary
Node on catchment SC #531,Mary,Mary
Node on catchment SC #552,Mary,Mary
Node on catchment SC #549,Mary,Mary
