ModelElement,Basin_35,Manag_Unit_48
SC #464,Barron,Barron
SC #109,Mulgrave-Russell,Mulgrave-Russell
SC #74,Barron,Barron
SC #90516,Mulgrave-Russell,Mulgrave-Russell
SC #440,Mulgrave-Russell,Mulgrave-Russell
SC #434,Barron,Barron
SC #83,Barron,Barron
SC #76,Barron,Barron
SC #405,Barron,Barron
SC #107,Mulgrave-Russell,Mulgrave-Russell
SC #115,Mulgrave-Russell,Mulgrave-Russell
SC #78,Barron,Barron
SC #110,Mulgrave-Russell,Mulgrave-Russell
SC #77,Barron,Barron
SC #111,Mulgrave-Russell,Mulgrave-Russell
SC #432,Barron,Barron
SC #114,Mulgrave-Russell,Mulgrave-Russell
SC #98,Mulgrave-Russell,Mulgrave-Russell
SC #97,Mulgrave-Russell,Mulgrave-Russell
SC #408,Barron,Barron
SC #90496,Mulgrave-Russell,Mulgrave-Russell
SC #433,Barron,Barron
SC #80,Barron,Barron
SC #112,Mulgrave-Russell,Mulgrave-Russell
SC #79,Barron,Barron
SC #417,Mulgrave-Russell,Mulgrave-Russell
SC #149,Johnstone,Johnstone
SC #406,Barron,Barron
SC #330,Herbert,Upper Herbert
SC #391,Johnstone,Johnstone
SC #113,Mulgrave-Russell,Mulgrave-Russell
SC #118,Mulgrave-Russell,Mulgrave-Russell
SC #438,Mulgrave-Russell,Mulgrave-Russell
SC #82,Barron,Barron
SC #81,Barron,Barron
SC #454,Mulgrave-Russell,Mulgrave-Russell
SC #441,Johnstone,Johnstone
SC #407,Barron,Barron
SC #327,Herbert,Upper Herbert
SC #331,Herbert,Upper Herbert
SC #106,Mulgrave-Russell,Mulgrave-Russell
SC #99,Mulgrave-Russell,Mulgrave-Russell
SC #148,Johnstone,Johnstone
SC #147,Johnstone,Johnstone
SC #392,Johnstone,Johnstone
SC #336,Herbert,Upper Herbert
SC #437,Mulgrave-Russell,Mulgrave-Russell
SC #329,Herbert,Upper Herbert
SC #105,Mulgrave-Russell,Mulgrave-Russell
SC #145,Johnstone,Johnstone
SC #90497,Mulgrave-Russell,Mulgrave-Russell
SC #100,Mulgrave-Russell,Mulgrave-Russell
SC #328,Herbert,Upper Herbert
SC #332,Herbert,Upper Herbert
SC #436,Mulgrave-Russell,Mulgrave-Russell
SC #326,Herbert,Upper Herbert
SC #102,Mulgrave-Russell,Mulgrave-Russell
SC #104,Mulgrave-Russell,Mulgrave-Russell
SC #101,Mulgrave-Russell,Mulgrave-Russell
SC #103,Mulgrave-Russell,Mulgrave-Russell
SC #146,Johnstone,Johnstone
SC #335,Herbert,Upper Herbert
SC #449,Herbert,Upper Herbert
SC #316,Herbert,Upper Herbert
SC #334,Herbert,Upper Herbert
SC #153,Johnstone,Johnstone
SC #152,Johnstone,Johnstone
SC #333,Herbert,Upper Herbert
SC #150,Johnstone,Johnstone
SC #315,Herbert,Upper Herbert
SC #390,Johnstone,Johnstone
SC #325,Herbert,Upper Herbert
SC #317,Herbert,Upper Herbert
SC #311,Herbert,Upper Herbert
SC #447,Herbert,Upper Herbert
SC #143,Johnstone,Johnstone
SC #136,Johnstone,Johnstone
SC #321,Herbert,Upper Herbert
SC #144,Johnstone,Johnstone
SC #141,Johnstone,Johnstone
SC #138,Johnstone,Johnstone
SC #419,Johnstone,Johnstone
SC #90517,Johnstone,Johnstone
SC #134,Johnstone,Johnstone
SC #142,Johnstone,Johnstone
SC #119,Johnstone,Johnstone
SC #310,Herbert,Upper Herbert
SC #340,Herbert,Upper Herbert
SC #393,Johnstone,Johnstone
SC #137,Johnstone,Johnstone
SC #139,Johnstone,Johnstone
SC #140,Johnstone,Johnstone
SC #133,Johnstone,Johnstone
SC #90498,Johnstone,Johnstone
SC #338,Herbert,Upper Herbert
SC #418,Johnstone,Johnstone
SC #324,Herbert,Upper Herbert
SC #121,Johnstone,Johnstone
SC #347,Herbert,Upper Herbert
SC #120,Johnstone,Johnstone
SC #122,Johnstone,Johnstone
SC #132,Johnstone,Johnstone
SC #123,Johnstone,Johnstone
SC #135,Johnstone,Johnstone
SC #151,Johnstone,Johnstone
SC #395,Johnstone,Johnstone
SC #130,Johnstone,Johnstone
SC #126,Johnstone,Johnstone
SC #318,Herbert,Upper Herbert
SC #448,Herbert,Upper Herbert
SC #472,Herbert,Upper Herbert
SC #128,Johnstone,Johnstone
SC #339,Herbert,Upper Herbert
SC #443,Tully,Tully
SC #341,Herbert,Upper Herbert
