ModelElement,Basin_35,Manag_Unit_48
Node on catchment SC #60,Barron,Barron
Node on catchment SC #264,Herbert,Upper Herbert
Node on catchment SC #326,Herbert,Upper Herbert
Node on catchment SC #328,Herbert,Upper Herbert
Node on catchment SC #320,Herbert,Upper Herbert
Outlet Node61,Johnstone,Johnstone
Node on catchment SC #325,Herbert,Upper Herbert
Node on catchment SC #323,Herbert,Upper Herbert
Node on catchment SC #447,Herbert,Upper Herbert
Node on catchment SC #376,Herbert,Lower Herbert
Node on catchment SC #378,Herbert,Lower Herbert
Outlet Node44,Mulgrave-Russell,Mulgrave-Russell
Node on catchment SC #371,Herbert,Lower Herbert
Outlet Node29,Herbert,Lower Herbert
Outlet Node30,Herbert,Lower Herbert
Outlet Node31,Herbert,Lower Herbert
Outlet Node2,Daintree,Daintree
Node on catchment SC #24,Daintree,Daintree
MO03,Mossman,Mossman
Node on catchment SC #429,Barron,Barron
Outlet Node56,Murray,Murray
Node on catchment SC #246,Herbert,Upper Herbert
Node on catchment SC #380,Herbert,Lower Herbert
Node on catchment SC #236,Herbert,Upper Herbert
113007A,Tully,Tully
EXTFD,Barron,Barron
116004C,Herbert,Upper Herbert
Node on catchment SC #208,Herbert,Lower Herbert
Cooperloade,Barron,Barron
EXCOOP,Barron,Barron
Tinaroo Falls,Barron,Barron
Node on catchment SC #426,Barron,Barron
Node on catchment SC #334,Herbert,Upper Herbert
JR03,Johnstone,Johnstone
Node on catchment SC #140,Johnstone,Johnstone
Node on catchment SC #141,Johnstone,Johnstone
Node on catchment SC #145,Johnstone,Johnstone
Node on catchment SC #445,Herbert,Lower Herbert
Node on catchment SC #422,Herbert,Lower Herbert
Node on catchment SC #219,Herbert,Lower Herbert
Node on catchment SC #223,Herbert,Lower Herbert
