ModelElement,Basin_35,Manag_Unit_48
Node on catchment SC #460,Normanby River,Normanby River
107001B,Endeavour River,Endeavour River
Node on catchment SC #471,Normanby River,Normanby River
Node on catchment SC #463,Normanby River,Normanby River
105104A,Normanby River,Normanby River
Node on catchment SC #454,Normanby River,Normanby River
Node on catchment SC #141,Lockhart River,Lockhart River
Outlet Node71,Lockhart River,Lockhart River
107003A,Endeavour River,Endeavour River
105102A,Normanby River,Normanby River
Node on catchment SC #129,Lockhart River,Lockhart River
Node on catchment SC #130,Lockhart River,Lockhart River
Node on catchment SC #133,Lockhart River,Lockhart River
Node on catchment SC #138,Lockhart River,Lockhart River
Outlet Node75,Stewart River,Stewart River
Node on catchment SC #143,Lockhart River,Lockhart River
Node on catchment SC #139,Lockhart River,Lockhart River
Outlet Node72,Lockhart River,Lockhart River
Outlet Node73,Lockhart River,Lockhart River
Outlet Node74,Lockhart River,Lockhart River
Node on catchment SC #225,Normanby River,Normanby River
Node on catchment SC #206,Normanby River,Normanby River
Node on catchment SC #211,Normanby River,Normanby River
Node on catchment SC #217,Normanby River,Normanby River
Node on catchment SC #246,Normanby River,Normanby River
Node on catchment SC #236,Normanby River,Normanby River
Node on catchment SC #267,Normanby River,Normanby River
Node on catchment SC #243,Normanby River,Normanby River
Outlet Node95,Jeannie River,Jeannie River
Node on catchment SC #509,Normanby River,Normanby River
Node on catchment SC #478,Normanby River,Normanby River
Node on catchment SC #482,Normanby River,Normanby River
Node on catchment SC #327,Normanby River,Normanby River
Node on catchment SC #329,Normanby River,Normanby River
Outlet Node98,Jeannie River,Jeannie River
Node on catchment SC #335,Normanby River,Normanby River
Node on catchment SC #407,Normanby River,Normanby River
Node on catchment SC #412,Normanby River,Normanby River
Node on catchment SC #415,Normanby River,Normanby River
Node on catchment SC #411,Normanby River,Normanby River
Node on catchment SC #455,Endeavour River,Endeavour River
Node on catchment SC #473,Normanby River,Normanby River
Node on catchment SC #476,Endeavour River,Endeavour River
Outlet Node100,Endeavour River,Endeavour River
105103A,Normanby River,Normanby River
Outlet Node68,Lockhart River,Lockhart River
Node on catchment SC #529,Endeavour River,Endeavour River
105106A,Normanby River,Normanby River
1021014,Olive-Pascoe,Olive-Pascoe
Outlet Node67,Olive-Pascoe,Olive-Pascoe
Node on catchment SC #101,Olive-Pascoe,Olive-Pascoe
Outlet Node16,Lockhart River,Lockhart River
Outlet Node33,Normanby River,Normanby River
Outlet Node26,Stewart River,Stewart River
Outlet Node54,Jacky Jacky Creek,Jacky Jacky Creek
Outlet Node47,Jeannie River,Jeannie River
Node on catchment SC #518,Endeavour River,Endeavour River
Node on catchment SC #537,Normanby River,Normanby River
Node on catchment SC #506,Normanby River,Normanby River
Node on catchment SC #213,Normanby River,Normanby River
Node on catchment SC #240,Jeannie River,Jeannie River
Node on catchment SC #188,Normanby River,Normanby River
Node on catchment SC #221,Normanby River,Normanby River
Node on catchment SC #231,Normanby River,Normanby River
Outlet Node93,Jeannie River,Jeannie River
Node on catchment SC #241,Normanby River,Normanby River
Node on catchment SC #306,Normanby River,Normanby River
Outlet Node92,Jeannie River,Jeannie River
Node on catchment SC #494,Normanby River,Normanby River
Outlet Node66,Olive-Pascoe,Olive-Pascoe
Node on catchment SC #302,Normanby River,Normanby River
Node on catchment SC #386,Normanby River,Normanby River
Outlet Node20,Lockhart River,Lockhart River
Node on catchment SC #296,Normanby River,Normanby River
Outlet Node41,Jeannie River,Jeannie River
106003A,Jeannie River,Jeannie River
Node on catchment SC #304,Normanby River,Normanby River
Node on catchment SC #432,Normanby River,Normanby River
Node on catchment SC #424,Normanby River,Normanby River
Node on catchment SC #436,Normanby River,Normanby River
105101A,Normanby River,Normanby River
Node on catchment SC #431,Normanby River,Normanby River
Node on catchment SC #398,Normanby River,Normanby River
Node on catchment SC #427,Normanby River,Normanby River
Node on catchment SC #493,Endeavour River,Endeavour River
Node on catchment SC #402,Normanby River,Normanby River
Node on catchment SC #496,Normanby River,Normanby River
Outlet Node17,Lockhart River,Lockhart River
Outlet Node30,Normanby River,Normanby River
Outlet Node27,Stewart River,Stewart River
Outlet Node56,Jacky Jacky Creek,Jacky Jacky Creek
Outlet Node89,Normanby River,Normanby River
Outlet Node88,Normanby River,Normanby River
Outlet Node18,Lockhart River,Lockhart River
Outlet Node9,Jacky Jacky Creek,Jacky Jacky Creek
Outlet Node8,Jacky Jacky Creek,Jacky Jacky Creek
Outlet Node1,Jacky Jacky Creek,Jacky Jacky Creek
Outlet Node2,Jacky Jacky Creek,Jacky Jacky Creek
Outlet Node3,Jacky Jacky Creek,Jacky Jacky Creek
Outlet Node5,Jacky Jacky Creek,Jacky Jacky Creek
Outlet Node4,Jacky Jacky Creek,Jacky Jacky Creek
Outlet Node7,Jacky Jacky Creek,Jacky Jacky Creek
Outlet Node6,Jacky Jacky Creek,Jacky Jacky Creek
Outlet Node106,Normanby River,Normanby River
105002A,Normanby River,Normanby River
Outlet Node85,Jeannie River,Jeannie River
Outlet Node83,Jeannie River,Jeannie River
Outlet Node87,Normanby River,Normanby River
SC #55,Jacky Jacky Creek,Jacky Jacky Creek
SC #3,Jacky Jacky Creek,Jacky Jacky Creek
SC #54,Jacky Jacky Creek,Jacky Jacky Creek
SC #56,Jacky Jacky Creek,Jacky Jacky Creek
SC #1,Jacky Jacky Creek,Jacky Jacky Creek
SC #2,Jacky Jacky Creek,Jacky Jacky Creek
SC #67,Jacky Jacky Creek,Jacky Jacky Creek
SC #76,Olive-Pascoe,Olive-Pascoe
SC #64,Jacky Jacky Creek,Jacky Jacky Creek
SC #84,Olive-Pascoe,Olive-Pascoe
SC #88,Olive-Pascoe,Olive-Pascoe
SC #72,Jacky Jacky Creek,Jacky Jacky Creek
SC #62,Jacky Jacky Creek,Jacky Jacky Creek
SC #92,Olive-Pascoe,Olive-Pascoe
SC #68,Jacky Jacky Creek,Jacky Jacky Creek
SC #61,Jacky Jacky Creek,Jacky Jacky Creek
SC #77,Olive-Pascoe,Olive-Pascoe
SC #63,Jacky Jacky Creek,Jacky Jacky Creek
SC #60,Jacky Jacky Creek,Jacky Jacky Creek
SC #94,Olive-Pascoe,Olive-Pascoe
SC #57,Jacky Jacky Creek,Jacky Jacky Creek
SC #4,Jacky Jacky Creek,Jacky Jacky Creek
SC #80,Olive-Pascoe,Olive-Pascoe
SC #69,Jacky Jacky Creek,Jacky Jacky Creek
SC #58,Jacky Jacky Creek,Jacky Jacky Creek
SC #65,Jacky Jacky Creek,Jacky Jacky Creek
SC #79,Olive-Pascoe,Olive-Pascoe
SC #75,Jacky Jacky Creek,Jacky Jacky Creek
SC #59,Jacky Jacky Creek,Jacky Jacky Creek
SC #8,Jacky Jacky Creek,Jacky Jacky Creek
SC #91,Olive-Pascoe,Olive-Pascoe
SC #5,Jacky Jacky Creek,Jacky Jacky Creek
SC #7,Jacky Jacky Creek,Jacky Jacky Creek
SC #71,Jacky Jacky Creek,Jacky Jacky Creek
SC #73,Jacky Jacky Creek,Jacky Jacky Creek
SC #95,Olive-Pascoe,Olive-Pascoe
SC #66,Jacky Jacky Creek,Jacky Jacky Creek
SC #112,Olive-Pascoe,Olive-Pascoe
SC #93,Olive-Pascoe,Olive-Pascoe
SC #90,Olive-Pascoe,Olive-Pascoe
SC #97,Olive-Pascoe,Olive-Pascoe
SC #85,Olive-Pascoe,Olive-Pascoe
SC #6,Jacky Jacky Creek,Jacky Jacky Creek
SC #81,Olive-Pascoe,Olive-Pascoe
SC #122,Olive-Pascoe,Olive-Pascoe
SC #89,Olive-Pascoe,Olive-Pascoe
SC #109,Olive-Pascoe,Olive-Pascoe
SC #86,Olive-Pascoe,Olive-Pascoe
SC #78,Olive-Pascoe,Olive-Pascoe
SC #70,Jacky Jacky Creek,Jacky Jacky Creek
SC #123,Olive-Pascoe,Olive-Pascoe
SC #74,Olive-Pascoe,Olive-Pascoe
SC #114,Olive-Pascoe,Olive-Pascoe
SC #119,Olive-Pascoe,Olive-Pascoe
SC #105,Olive-Pascoe,Olive-Pascoe
SC #87,Olive-Pascoe,Olive-Pascoe
SC #111,Olive-Pascoe,Olive-Pascoe
SC #113,Olive-Pascoe,Olive-Pascoe
SC #9,Jacky Jacky Creek,Jacky Jacky Creek
SC #125,Olive-Pascoe,Olive-Pascoe
SC #10,Olive-Pascoe,Olive-Pascoe
SC #121,Olive-Pascoe,Olive-Pascoe
SC #152,Stewart River,Stewart River
SC #110,Olive-Pascoe,Olive-Pascoe
SC #116,Olive-Pascoe,Olive-Pascoe
SC #324,Normanby River,Normanby River
SC #99,Olive-Pascoe,Olive-Pascoe
SC #82,Olive-Pascoe,Olive-Pascoe
SC #106,Olive-Pascoe,Olive-Pascoe
SC #100,Olive-Pascoe,Olive-Pascoe
SC #126,Olive-Pascoe,Olive-Pascoe
SC #120,Olive-Pascoe,Olive-Pascoe
SC #96,Olive-Pascoe,Olive-Pascoe
SC #168,Stewart River,Stewart River
SC #50,Olive-Pascoe,Olive-Pascoe
SC #83,Olive-Pascoe,Olive-Pascoe
SC #11,Olive-Pascoe,Olive-Pascoe
SC #154,Stewart River,Stewart River
SC #169,Stewart River,Stewart River
SC #159,Stewart River,Stewart River
SC #118,Olive-Pascoe,Olive-Pascoe
SC #124,Olive-Pascoe,Olive-Pascoe
SC #293,Normanby River,Normanby River
SC #98,Olive-Pascoe,Olive-Pascoe
SC #369,Normanby River,Normanby River
SC #104,Olive-Pascoe,Olive-Pascoe
SC #115,Lockhart River,Lockhart River
SC #359,Normanby River,Normanby River
SC #151,Stewart River,Stewart River
SC #256,Normanby River,Normanby River
SC #107,Lockhart River,Lockhart River
SC #117,Lockhart River,Lockhart River
SC #148,Stewart River,Stewart River
SC #103,Olive-Pascoe,Olive-Pascoe
SC #170,Stewart River,Stewart River
SC #128,Lockhart River,Lockhart River
SC #287,Normanby River,Normanby River
SC #239,Normanby River,Normanby River
SC #176,Stewart River,Stewart River
SC #155,Stewart River,Stewart River
SC #14,Lockhart River,Lockhart River
SC #161,Stewart River,Stewart River
SC #102,Olive-Pascoe,Olive-Pascoe
SC #172,Stewart River,Stewart River
SC #132,Lockhart River,Lockhart River
SC #156,Stewart River,Stewart River
SC #140,Lockhart River,Lockhart River
SC #230,Normanby River,Normanby River
